metric,mk_tau,mk_p,sen_slope,lin_slope,lin_r2,lin_p,pois_slope,pois_r2,pois_p,mw_p,mw_meanGroup1,mw_meanGroup2,mw_medianGroup1,mw_medianGroup2,n_yrGroup1,n_yrGroup2,gage_ID
annualnoflowdays,0.098150782,0.37311167,0,0.393478499,0.026255777,0.331082812,0.020351342,0.026255777,2.10E-09,0.457067068,15.78947368,23.26315789,6,7,19,19,1109070
zeroflowfirst,-0.025974026,0.887745041,-0.041666667,-0.100138295,0.002446668,0.826964405,-7.71E-04,0.002446668,0.636332447,0.973676993,128.9,130.4166667,123.5,128,10,10,1109070
peak2z_length,-0.415584416,0.007209571,-0.7,-0.667824365,0.360108954,0.003152482,NA,NA,NA,0.015856881,38.6,24.79166667,33.5,22.5,10,10,1109070
p_mm_cy,0.129445235,0.257856722,3.423076923,3.015428384,0.031669394,0.285102073,NA,NA,NA,0.401554317,1225,1274.157895,1214,1303,19,19,1109070
p_mm_amj,0.052631579,0.650724757,0.583333333,0.582667688,0.004341312,0.694301471,NA,NA,NA,0.320762077,300.9473684,319.7368421,269,320,19,19,1109070
p_mm_jas,0.004267425,0.979937086,0.033333333,0.360870992,0.002137854,0.782817121,NA,NA,NA,0.849476338,289.4210526,299.2105263,277,266,19,19,1109070
p_mm_ond,0.082503556,0.47342365,0.909090909,0.76365029,0.009147706,0.567861456,NA,NA,NA,0.589003807,324.7368421,336.1578947,305,319,19,19,1109070
p_mm_jfm,0.06401138,0.580151246,0.928571429,1.308239414,0.020406493,0.392231011,NA,NA,NA,0.862580177,309.8947368,319.0526316,283,312,19,19,1109070
pet_mm_cy,0.311522048,0.006123228,2,1.851077798,0.178668449,0.008197945,NA,NA,NA,0.01537475,1048.315789,1082.684211,1058,1100,19,19,1109070
pet_mm_amj,0.260312945,0.021999269,0.75,0.563190721,0.08588184,0.074163025,NA,NA,NA,0.128689265,365.2631579,372.4736842,359,377,19,19,1109070
pet_mm_jas,0.308677098,0.006599808,1.263157895,1.185140606,0.226094998,0.002552598,NA,NA,NA,0.014171145,377.6315789,401.8947368,370,402,19,19,1109070
pet_mm_ond,0.019914651,0.87000973,0,-1.92E-15,2.99E-29,1,NA,NA,NA,0.640105701,156.3684211,157.1052632,156,157,19,19,1109070
pet_mm_jfm,0.06401138,0.579551348,0.136363636,0.102746471,0.005522965,0.657455307,NA,NA,NA,0.558817374,149.0526316,151.2105263,150,152,19,19,1109070
T_max_c_cy,0.20341394,0.074227183,0.021416997,0.022843089,0.112499123,0.039533644,NA,NA,NA,0.324859207,15.59100326,15.93915405,15.60712329,15.93643836,19,19,1109070
T_max_c_amj,0.177809388,0.119016217,0.015891801,0.014357139,0.034743099,0.262506154,NA,NA,NA,0.137774772,19.96136495,20.19971082,19.8956044,20.25714286,19,19,1109070
T_max_c_jas,0.26173542,0.021400654,0.03423913,0.031039334,0.136849025,0.022254199,NA,NA,NA,0.063743755,25.99107552,26.56962242,25.90217391,26.61413043,19,19,1109070
T_max_c_ond,0.214793741,0.059323837,0.039690382,0.039641979,0.117171301,0.035411118,NA,NA,NA,0.108953852,10.88272311,11.54742563,10.67826087,11.34347826,19,19,1109070
T_max_c_jfm,0.058321479,0.615051322,0.010689655,0.005874077,0.001812678,0.799649221,NA,NA,NA,0.862580177,5.379090033,5.283081422,5.316483516,5.635555556,19,19,1109070
T_min_c_cy,0.317211949,0.00525515,0.035814586,0.032913741,0.227684939,0.002452679,NA,NA,NA,0.029561459,4.662224836,5.224687713,4.479178082,5.280273973,19,19,1109070
T_min_c_amj,0.318634424,0.005051106,0.029020979,0.029869813,0.209066959,0.003900951,NA,NA,NA,0.033061706,8.29664546,8.832562175,8.36043956,8.724175824,19,19,1109070
T_min_c_jas,0.33428165,0.003262835,0.034079284,0.035826272,0.273639731,7.52E-04,NA,NA,NA,0.00991377,14.6229405,15.2979405,14.68152174,15.14021739,19,19,1109070
T_min_c_ond,0.283072546,0.012801754,0.042717391,0.049158527,0.194923289,0.005522852,NA,NA,NA,0.015409464,0.429748284,1.395251716,0.177173913,1.111956522,19,19,1109070
T_min_c_jfm,0.100995733,0.378841252,0.025618132,0.016444909,0.011627289,0.519324784,NA,NA,NA,0.750923477,-4.844637234,-4.778092025,-4.941758242,-4.107692308,19,19,1109070
pcumdist10days,0.014224751,0.909812121,0,0.014224751,1.11E-04,0.949982773,3.86E-04,1.11E-04,0.87412655,0.837938453,36.52631579,37.15789474,35,36,19,19,1109070
pcumdist50days,0.049786629,0.668907717,0.181818182,0.103731262,0.001648411,0.808766106,5.52E-04,0.001648411,0.609118824,0.803951155,189.5789474,186.5263158,186,196,19,19,1109070
pcumdist90days,0.091038407,0.427916941,0.189189189,0.133056133,0.006903253,0.619947303,4.05E-04,0.006903253,0.619787796,0.405071997,327.5263158,329.7368421,329,336,19,19,1109070
swe_mm_cy,0.01951952,0.875234024,0.106060606,0.315789474,0.00705985,0.621005832,NA,NA,NA,0.70398378,55.16666667,62.15789474,45.5,58,18,18,1109070
swe_mm_amj,-0.046031746,0.656207494,0,-0.019176319,1.50E-04,0.943442902,NA,NA,NA,0.376503723,10.70588235,5.526315789,0,0,17,17,1109070
swe_mm_jas,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,17,17,1109070
swe_mm_ond,0.071428571,0.548427728,0.153846154,0.117117117,0.005464345,0.668315208,NA,NA,NA,0.375220441,17.33333333,22,13,19.5,18,18,1109070
swe_mm_jfm,0.042857143,0.723157647,0.207142857,0.457271557,0.013340942,0.502341073,NA,NA,NA,0.486313852,51.44444444,61.5,37,55,18,18,1109070
srad_wm2_cy,0.450924609,7.11E-05,0.313988838,0.292604565,0.462041248,2.69E-06,NA,NA,NA,9.13E-05,167.96153,174.0308217,167.6739726,175.6410959,19,19,1109070
srad_wm2_amj,0.317211949,0.00525515,0.492063489,0.435256941,0.180895543,0.007768153,NA,NA,NA,0.023329804,231.6697513,238.9323308,230.5934066,241.5934066,19,19,1109070
srad_wm2_jas,0.455192034,6.05E-05,0.5044757,0.50596821,0.437385459,6.17E-06,NA,NA,NA,4.94E-05,220.4170481,231.4856979,219.5326087,231.2173913,19,19,1109070
srad_wm2_ond,0.129445235,0.257856722,0.079710144,0.05815259,0.023352047,0.359701005,NA,NA,NA,0.369685928,102.4696796,103.6813501,101.9456522,104.5543478,19,19,1109070
srad_wm2_jfm,0.209103841,0.066431921,0.187037037,0.170589689,0.118160885,0.034594642,NA,NA,NA,0.00991377,116.9903669,121.7406336,115.9120879,121.5222222,19,19,1109070
p.pet_cy,-0.004267425,0.979940256,-3.10E-04,9.40E-04,0.002736775,0.755095753,NA,NA,NA,0.976988121,1.170568701,1.18421693,1.166831194,1.201649863,19,19,1109070
swe.p_cy,0.024024024,0.844466763,8.18E-05,2.99E-04,0.008836567,0.579989304,NA,NA,NA,0.752564637,0.044964049,0.050407583,0.034995362,0.053846154,18,18,1109070
p.pet_jfm,0.078236131,0.497212088,0.00797235,0.008452766,0.015209911,0.460712133,NA,NA,NA,0.885313346,2.10418864,2.165590955,1.964788732,2.198675497,19,19,1109070
