predictor,ImpCondPerm
sm_lvl2.kg.m2.,2435.228675
spei6_drought_count,1918.770783
rel_hum...,1794.27173
organic_frac_top,1720.143813
lai_mean,1603.609289
p,1597.038577
slope_mean,1368.412009
geol_porosity,1150.150726
soil_awc_top,1143.370117
pet_jjas.previous,1005.634057
aet_jjas,981.6846799
gravel_frac_top,969.9430184
soil_depth,918.8450263
evap_canopy.mm.day._mam,912.4585022
tmax_mam,885.7438318
lai_min,864.0000335
silt_frac_sub,835.3017739
p.previous,831.0439458
dpsbar,798.9850376
cwc_lat,776.7789474
tmax_djf,712.4976821
spei12_drought_count.previous,546.4927056
urban_pct,458.2843131
org_carb_sub_mean,403.6023322
soil_awsc_min,251.3212114
sm_lvl2.kg.m2..previous,221.4135139
sm_lvl1.kg.m2.,208.7238281
srad_sw.w.m2.,204.419785
sm_lvl1.kg.m2..previous,169.4619994
sm_lvl3.kg.m2..previous,63.40648472
wind_v.m.s..previous,52.99813894
srad_sw.w.m2..previous,18.68603863
sm_lvl4.kg.m2.,-8.841198215
evap_canopy.mm.day._djf,-40.81388829
cwc_lon,-139.9897795
res_store_sum,-146.7836257
wind.m.s.,-173.0935546
pet,-252.3082717
org_carb_top_major,-306.4132231
tmax,-313.0934229
aet.previous,-475.8050838
tmax.previous,-537.4296084
sm_lvl3.kg.m2.,-550.3333611
pet_on,-554.2897565
spei3_drought_count,-896.4931446
pet_djf.previous,-982.2882598
soil_awsc_max,-1172.03133
pet_jjas,-1214.959219
aet_on.previous,-2178.96578
