predictor,ImpCondPerm
evap_surface.mm.day._mam.previous,611.5583313
pet_on,562.7487938
geol_permeability,552.1262786
silt_frac_sub,549.3380406
sm_lvl2.kg.m2.,546.636145
gravel_frac_top,519.127384
aet_mam.previous,505.9320733
elev_max,498.6340497
sm_lvl2.kg.m2..previous,492.4354174
pet_djf.previous,452.8778087
aet.previous,432.7524096
lai_mean,432.1314535
p,428.1502034
org_carb_top_major,423.5799125
evap_canopy.mm.day._on,417.1047154
aet_jjas,416.7341984
aet_on,408.2530114
sinuosity,395.226073
tmax_djf,391.9795365
sm_lvl1.kg.m2..previous,361.0396734
evap_canopy.mm.day._mam.previous,352.9451166
org_carb_sub_mean,352.5863428
aet,350.1973178
pet_djf,346.9501036
cwc_lat,340.6301454
pet_jjas,336.1063567
evap_surface.mm.day..previous,333.2812108
organic_frac_top,330.9835377
pet_jjas.previous,325.5541258
evap_surface.mm.day._djf.previous,321.4050771
soil_depth,317.665083
clay_frac_sub,295.7068569
rel_hum...,292.9021192
tmax_mam,279.6827763
tavg_on,279.3882858
geol_porosity,274.948018
tavg,268.3856018
tmin_jjas,264.4408558
soil_awc_top,252.3144171
spei6_drought_count,241.9296711
evap_canopy.mm.day._on.previous,241.5128118
evap_surface.mm.day._jjas,232.1465392
tmax.previous,225.4615743
org_carb_top_mean,224.4316557
slope_mean,216.5399423
spei3_drought_max_spell,201.1500314
lai_min,195.8632644
tmin_djf,193.6786169
pet,183.9850984
org_carb_sub_major,176.4402064
pet_on.previous,160.9431777
evap_surface.mm.day._djf,159.7054594
tavg.previous,154.745917
sm_lvl4.kg.m2.,147.1622137
tmax_on.previous,146.3117885
sm_lvl3.kg.m2.,135.4874406
soil_conductivity_top,134.2170419
evap_surface.mm.day._on,130.7897849
evap_canopy.mm.day._djf,126.1469232
evap_canopy.mm.day._jjas.previous,122.8892942
gravel_frac_sub,119.7813784
tmax_jjas,119.2262136
tmax_djf.previous,119.1129359
silt_frac_top,104.9995154
p_djf,101.6455259
evap_canopy.mm.day..previous,95.48629798
tmax,87.25265746
aet_on.previous,73.32124604
spei3_drought_count.previous,58.92999694
soil_awsc_max,54.13158767
cwc_lon,53.6868065
wind.m.s.,39.3482733
evap_canopy.mm.day._djf.previous,30.27702053
tavg_on.previous,29.82182983
slope_max,26.64339458
tmax_on,26.32530395
soil_awsc_min,21.9440437
evap_canopy.mm.day._mam,21.59181992
sand_frac_sub,19.1450155
tmin_on,15.8537918
aet_mam,13.77446876
p_on.previous,13.46942316
urban_pct,13.36273308
evap_surface.mm.day._jjas.previous,8.094459978
srad_sw.w.m2.,6.248497851
p_on,2.234848275
pet_mam.previous,-10.95415196
p_mam.previous,-18.69408383
lai_max,-19.55630911
sand_frac_top,-22.01111839
srad_lw.w.m2.,-22.19373207
tmin_on.previous,-22.66172537
evap_surface.mm.day._on.previous,-23.32522353
evap_surface.mm.day.,-29.20354131
wind_v.m.s.,-32.10400323
spei24_drought_count.previous,-41.61168278
evap_surface.mm.day._mam,-43.68137688
evap_canopy.mm.day.,-51.9114815
pet_mam,-52.88284133
spei12_drought_count,-66.93956202
wind_u.m.s..previous,-92.31609387
spei3_drought_count,-102.4797443
pet.previous,-110.5609352
elev_min,-127.79129
sm_lvl1.kg.m2.,-140.3260537
wind_v.m.s..previous,-141.1172251
Total_Dams_So_Far,-161.4502641
soil_awsc_major,-165.2133393
evap_canopy.mm.day._jjas,-170.4165667
p_mam,-179.1861167
