mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric,region_rf
1,250,3,mae,standard,48.85576478054841,5,0.29141480031682504,pre0_mod001_post0,Zero_Flow_Days_sum,National
1,250,3,rmse,standard,68.20275334967036,5,0.666091947575787,pre0_mod001_post0,Zero_Flow_Days_sum,National
1,250,3,rsq,standard,0.5760573666699703,5,0.01707906738552296,pre0_mod001_post0,Zero_Flow_Days_sum,National
1,250,6,mae,standard,49.52784669438812,5,0.3544437382623332,pre0_mod002_post0,Zero_Flow_Days_sum,National
1,250,6,rmse,standard,68.69341747936043,5,0.7533815077691639,pre0_mod002_post0,Zero_Flow_Days_sum,National
1,250,6,rsq,standard,0.5712580194918276,5,0.01781410447485494,pre0_mod002_post0,Zero_Flow_Days_sum,National
1,250,9,mae,standard,50.17340347350176,5,0.3172009436274081,pre0_mod003_post0,Zero_Flow_Days_sum,National
1,250,9,rmse,standard,69.25306635240982,5,0.7119778877318494,pre0_mod003_post0,Zero_Flow_Days_sum,National
1,250,9,rsq,standard,0.5659187851303014,5,0.018692251283944458,pre0_mod003_post0,Zero_Flow_Days_sum,National
1,250,12,mae,standard,50.75731605786697,5,0.2710051067373888,pre0_mod004_post0,Zero_Flow_Days_sum,National
1,250,12,rmse,standard,69.71416909316025,5,0.7023258340566146,pre0_mod004_post0,Zero_Flow_Days_sum,National
1,250,12,rsq,standard,0.5620732550897706,5,0.01738338401096365,pre0_mod004_post0,Zero_Flow_Days_sum,National
1,250,15,mae,standard,51.4514855572181,5,0.331972988484698,pre0_mod005_post0,Zero_Flow_Days_sum,National
1,250,15,rmse,standard,70.27013772450593,5,0.7362340135467197,pre0_mod005_post0,Zero_Flow_Days_sum,National
1,250,15,rsq,standard,0.5565886109095739,5,0.018425523450689665,pre0_mod005_post0,Zero_Flow_Days_sum,National
1,250,18,mae,standard,51.98100194655077,5,0.33471924005390974,pre0_mod006_post0,Zero_Flow_Days_sum,National
1,250,18,rmse,standard,70.77316214274123,5,0.7661900582183822,pre0_mod006_post0,Zero_Flow_Days_sum,National
1,250,18,rsq,standard,0.5511166689672141,5,0.018807456056555552,pre0_mod006_post0,Zero_Flow_Days_sum,National
1,250,21,mae,standard,52.48418092201911,5,0.3178257618507038,pre0_mod007_post0,Zero_Flow_Days_sum,National
1,250,21,rmse,standard,71.28100800612812,5,0.7808405640991324,pre0_mod007_post0,Zero_Flow_Days_sum,National
1,250,21,rsq,standard,0.5445468705862725,5,0.018290772505459997,pre0_mod007_post0,Zero_Flow_Days_sum,National
1,250,25,mae,standard,53.056690100626746,5,0.29158256401554816,pre0_mod008_post0,Zero_Flow_Days_sum,National
1,250,25,rmse,standard,71.7438560182461,5,0.7165475072795185,pre0_mod008_post0,Zero_Flow_Days_sum,National
1,250,25,rsq,standard,0.5410859312968499,5,0.01835858382668986,pre0_mod008_post0,Zero_Flow_Days_sum,National
1,450,3,mae,standard,48.85765645993074,5,0.35444571816827064,pre0_mod009_post0,Zero_Flow_Days_sum,National
1,450,3,rmse,standard,68.03348565772775,5,0.7475767976708567,pre0_mod009_post0,Zero_Flow_Days_sum,National
1,450,3,rsq,standard,0.577893882331442,5,0.01795993032709341,pre0_mod009_post0,Zero_Flow_Days_sum,National
1,450,6,mae,standard,49.445844336941676,5,0.30002570367833165,pre0_mod010_post0,Zero_Flow_Days_sum,National
1,450,6,rmse,standard,68.53086884329342,5,0.6868327009955143,pre0_mod010_post0,Zero_Flow_Days_sum,National
1,450,6,rsq,standard,0.5743346623081134,5,0.01750262677672383,pre0_mod010_post0,Zero_Flow_Days_sum,National
1,450,9,mae,standard,50.18483527118949,5,0.2595111071553224,pre0_mod011_post0,Zero_Flow_Days_sum,National
1,450,9,rmse,standard,69.14746324989287,5,0.6522688884316054,pre0_mod011_post0,Zero_Flow_Days_sum,National
1,450,9,rsq,standard,0.5683020733638796,5,0.01790362406275726,pre0_mod011_post0,Zero_Flow_Days_sum,National
1,450,12,mae,standard,50.746484916001705,5,0.28151101791070676,pre0_mod012_post0,Zero_Flow_Days_sum,National
1,450,12,rmse,standard,69.6491309386802,5,0.6707221978184398,pre0_mod012_post0,Zero_Flow_Days_sum,National
1,450,12,rsq,standard,0.5631960488587832,5,0.01765490562173263,pre0_mod012_post0,Zero_Flow_Days_sum,National
1,450,15,mae,standard,51.3183388438562,5,0.2965592901286294,pre0_mod013_post0,Zero_Flow_Days_sum,National
1,450,15,rmse,standard,70.17625142501416,5,0.7390827066697285,pre0_mod013_post0,Zero_Flow_Days_sum,National
1,450,15,rsq,standard,0.5578748376914497,5,0.018604611446342366,pre0_mod013_post0,Zero_Flow_Days_sum,National
1,450,18,mae,standard,51.86617948302002,5,0.31607829054149217,pre0_mod014_post0,Zero_Flow_Days_sum,National
1,450,18,rmse,standard,70.66545133231028,5,0.7495714905361278,pre0_mod014_post0,Zero_Flow_Days_sum,National
1,450,18,rsq,standard,0.5532285059757446,5,0.01849890557227158,pre0_mod014_post0,Zero_Flow_Days_sum,National
1,450,21,mae,standard,52.46066047645904,5,0.3055318797818891,pre0_mod015_post0,Zero_Flow_Days_sum,National
1,450,21,rmse,standard,71.2123142841874,5,0.7396458137388643,pre0_mod015_post0,Zero_Flow_Days_sum,National
1,450,21,rsq,standard,0.546711046342834,5,0.01819282065145431,pre0_mod015_post0,Zero_Flow_Days_sum,National
1,450,25,mae,standard,52.97304351324655,5,0.3539360288265004,pre0_mod016_post0,Zero_Flow_Days_sum,National
1,450,25,rmse,standard,71.65849120890758,5,0.7651459564558422,pre0_mod016_post0,Zero_Flow_Days_sum,National
1,450,25,rsq,standard,0.5432509239649648,5,0.019313633240081715,pre0_mod016_post0,Zero_Flow_Days_sum,National
1,650,3,mae,standard,48.88276029586832,5,0.3112578155861801,pre0_mod017_post0,Zero_Flow_Days_sum,National
1,650,3,rmse,standard,68.07178627737449,5,0.6867356090635413,pre0_mod017_post0,Zero_Flow_Days_sum,National
1,650,3,rsq,standard,0.5785761345024756,5,0.016790065750717693,pre0_mod017_post0,Zero_Flow_Days_sum,National
1,650,6,mae,standard,49.41814585580165,5,0.30387911479417556,pre0_mod018_post0,Zero_Flow_Days_sum,National
1,650,6,rmse,standard,68.44041806527278,5,0.6891977754443537,pre0_mod018_post0,Zero_Flow_Days_sum,National
1,650,6,rsq,standard,0.5763916854249819,5,0.0179851570921708,pre0_mod018_post0,Zero_Flow_Days_sum,National
1,650,9,mae,standard,50.134282307791175,5,0.27448379233804093,pre0_mod019_post0,Zero_Flow_Days_sum,National
1,650,9,rmse,standard,69.05653651157795,5,0.6875820767513258,pre0_mod019_post0,Zero_Flow_Days_sum,National
1,650,9,rsq,standard,0.5694467086589087,5,0.018490504485857897,pre0_mod019_post0,Zero_Flow_Days_sum,National
1,650,12,mae,standard,50.78065834182543,5,0.33845204377902327,pre0_mod020_post0,Zero_Flow_Days_sum,National
1,650,12,rmse,standard,69.67074061835652,5,0.741867228224636,pre0_mod020_post0,Zero_Flow_Days_sum,National
1,650,12,rsq,standard,0.5637490619963486,5,0.01862438829559186,pre0_mod020_post0,Zero_Flow_Days_sum,National
1,650,15,mae,standard,51.37539351607163,5,0.30249365072092077,pre0_mod021_post0,Zero_Flow_Days_sum,National
1,650,15,rmse,standard,70.2148439340965,5,0.7379330482805002,pre0_mod021_post0,Zero_Flow_Days_sum,National
1,650,15,rsq,standard,0.5580448214865776,5,0.01860647524707778,pre0_mod021_post0,Zero_Flow_Days_sum,National
1,650,18,mae,standard,51.98189957679021,5,0.33318580088378913,pre0_mod022_post0,Zero_Flow_Days_sum,National
1,650,18,rmse,standard,70.75746567012001,5,0.7680723617737851,pre0_mod022_post0,Zero_Flow_Days_sum,National
1,650,18,rsq,standard,0.5518196136953465,5,0.01877239917040479,pre0_mod022_post0,Zero_Flow_Days_sum,National
1,650,21,mae,standard,52.39427118454681,5,0.3058712189257558,pre0_mod023_post0,Zero_Flow_Days_sum,National
1,650,21,rmse,standard,71.14644950049747,5,0.7425381798649756,pre0_mod023_post0,Zero_Flow_Days_sum,National
1,650,21,rsq,standard,0.5483096748291892,5,0.01896620942389243,pre0_mod023_post0,Zero_Flow_Days_sum,National
1,650,25,mae,standard,53.08791349711209,5,0.29289102888742374,pre0_mod024_post0,Zero_Flow_Days_sum,National
1,650,25,rmse,standard,71.74545149961688,5,0.7372430184794685,pre0_mod024_post0,Zero_Flow_Days_sum,National
1,650,25,rsq,standard,0.542259598599582,5,0.018784704373768477,pre0_mod024_post0,Zero_Flow_Days_sum,National
1,850,3,mae,standard,48.80739696377088,5,0.2755938189961708,pre0_mod025_post0,Zero_Flow_Days_sum,National
1,850,3,rmse,standard,68.01420004643327,5,0.6621014619653403,pre0_mod025_post0,Zero_Flow_Days_sum,National
1,850,3,rsq,standard,0.5789525648155229,5,0.017853501408338964,pre0_mod025_post0,Zero_Flow_Days_sum,National
1,850,6,mae,standard,49.4916651201655,5,0.30882385359072567,pre0_mod026_post0,Zero_Flow_Days_sum,National
1,850,6,rmse,standard,68.5268562536127,5,0.7155022551896497,pre0_mod026_post0,Zero_Flow_Days_sum,National
1,850,6,rsq,standard,0.575031206421716,5,0.017578459728494752,pre0_mod026_post0,Zero_Flow_Days_sum,National
1,850,9,mae,standard,50.153729815602325,5,0.29631952452700355,pre0_mod027_post0,Zero_Flow_Days_sum,National
1,850,9,rmse,standard,69.08493796238439,5,0.7067137075928853,pre0_mod027_post0,Zero_Flow_Days_sum,National
1,850,9,rsq,standard,0.5692246229838274,5,0.018130512885359225,pre0_mod027_post0,Zero_Flow_Days_sum,National
1,850,12,mae,standard,50.825433813208505,5,0.29476085743182845,pre0_mod028_post0,Zero_Flow_Days_sum,National
1,850,12,rmse,standard,69.71903333488336,5,0.6811871580864864,pre0_mod028_post0,Zero_Flow_Days_sum,National
1,850,12,rsq,standard,0.5630405548600805,5,0.01831889405179011,pre0_mod028_post0,Zero_Flow_Days_sum,National
1,850,15,mae,standard,51.3223925279611,5,0.30264434602742196,pre0_mod029_post0,Zero_Flow_Days_sum,National
1,850,15,rmse,standard,70.11613157734553,5,0.7086896780591813,pre0_mod029_post0,Zero_Flow_Days_sum,National
1,850,15,rsq,standard,0.5591785311046135,5,0.018194779688395415,pre0_mod029_post0,Zero_Flow_Days_sum,National
1,850,18,mae,standard,51.862282076507995,5,0.3144847504696244,pre0_mod030_post0,Zero_Flow_Days_sum,National
1,850,18,rmse,standard,70.66039995555693,5,0.7416548977030236,pre0_mod030_post0,Zero_Flow_Days_sum,National
1,850,18,rsq,standard,0.5533812352848309,5,0.018678301950954285,pre0_mod030_post0,Zero_Flow_Days_sum,National
1,850,21,mae,standard,52.37974507242563,5,0.29708907948091523,pre0_mod031_post0,Zero_Flow_Days_sum,National
1,850,21,rmse,standard,71.09219497117222,5,0.7317129267790378,pre0_mod031_post0,Zero_Flow_Days_sum,National
1,850,21,rsq,standard,0.5494466563774438,5,0.018642518036073107,pre0_mod031_post0,Zero_Flow_Days_sum,National
1,850,25,mae,standard,53.048197735233735,5,0.31310361525114694,pre0_mod032_post0,Zero_Flow_Days_sum,National
1,850,25,rmse,standard,71.68512241689584,5,0.7360830513459546,pre0_mod032_post0,Zero_Flow_Days_sum,National
1,850,25,rsq,standard,0.543536209670742,5,0.018816503514605544,pre0_mod032_post0,Zero_Flow_Days_sum,National
1,1050,3,mae,standard,48.83912965959957,5,0.27207552623218684,pre0_mod033_post0,Zero_Flow_Days_sum,National
1,1050,3,rmse,standard,68.02862424379406,5,0.6730382811790929,pre0_mod033_post0,Zero_Flow_Days_sum,National
1,1050,3,rsq,standard,0.5790157171670679,5,0.0172770184982776,pre0_mod033_post0,Zero_Flow_Days_sum,National
1,1050,6,mae,standard,49.54971675389052,5,0.34271218846641915,pre0_mod034_post0,Zero_Flow_Days_sum,National
1,1050,6,rmse,standard,68.5868671490432,5,0.7553938211447864,pre0_mod034_post0,Zero_Flow_Days_sum,National
1,1050,6,rsq,standard,0.5740667337384462,5,0.01851091740780338,pre0_mod034_post0,Zero_Flow_Days_sum,National
1,1050,9,mae,standard,50.17096237239016,5,0.31366146803466044,pre0_mod035_post0,Zero_Flow_Days_sum,National
1,1050,9,rmse,standard,69.13238509392806,5,0.7267862477339729,pre0_mod035_post0,Zero_Flow_Days_sum,National
1,1050,9,rsq,standard,0.5687238739173892,5,0.018309231182207616,pre0_mod035_post0,Zero_Flow_Days_sum,National
1,1050,12,mae,standard,50.79916255704302,5,0.3310786995371377,pre0_mod036_post0,Zero_Flow_Days_sum,National
1,1050,12,rmse,standard,69.63187609191426,5,0.7171109856190887,pre0_mod036_post0,Zero_Flow_Days_sum,National
