predictor,IncMSE,oobMSE,metric,region_rf
pet_mam,1633.8073958213733,3487.44534913269,Zero_Flow_Days_sum,National
sinuosity,2317.760197983707,3487.44534913269,Zero_Flow_Days_sum,National
evap_surface.mm.day._jjas,629.4427107104858,3487.44534913269,Zero_Flow_Days_sum,National
pet_mam.previous,848.768805640176,3487.44534913269,Zero_Flow_Days_sum,National
pet,924.5638126837579,3487.44534913269,Zero_Flow_Days_sum,National
urban_pct,1938.924646821408,3487.44534913269,Zero_Flow_Days_sum,National
elev_max,1116.0093991497827,3487.44534913269,Zero_Flow_Days_sum,National
Total_Dams_So_Far,1162.2608017264404,3487.44534913269,Zero_Flow_Days_sum,National
org_carb_top_mean,1633.6140816349907,3487.44534913269,Zero_Flow_Days_sum,National
wind_v.m.s.,946.5126691947229,3487.44534913269,Zero_Flow_Days_sum,National
wind_v.m.s..previous,893.8134550187366,3487.44534913269,Zero_Flow_Days_sum,National
elev_min,1205.591968582018,3487.44534913269,Zero_Flow_Days_sum,National
srad_sw.w.m2.,1616.5810114932847,3487.44534913269,Zero_Flow_Days_sum,National
evap_surface.mm.day._jjas.previous,539.3631676459389,3487.44534913269,Zero_Flow_Days_sum,National
evap_canopy.mm.day._jjas.previous,780.8949718684836,3487.44534913269,Zero_Flow_Days_sum,National
evap_surface.mm.day.,584.0961601793496,3487.44534913269,Zero_Flow_Days_sum,National
geol_permeability,3016.8141967204074,3487.44534913269,Zero_Flow_Days_sum,National
tavg_on.previous,953.3179987854239,3487.44534913269,Zero_Flow_Days_sum,National
pet_djf,906.9939712761816,3487.44534913269,Zero_Flow_Days_sum,National
aet,682.9371416948161,3487.44534913269,Zero_Flow_Days_sum,National
soil_depth,1035.861652628263,3487.44534913269,Zero_Flow_Days_sum,National
dpsbar,895.7431686843686,3487.44534913269,Zero_Flow_Days_sum,National
elev_max,694.3897651109346,1821.6584798858066,Zero_Flow_Days_sum,Humid
sinuosity,1520.2110033828665,1821.6584798858066,Zero_Flow_Days_sum,Humid
elev_mean,307.3001819104034,1821.6584798858066,Zero_Flow_Days_sum,Humid
slope_max,249.12792731237934,1821.6584798858066,Zero_Flow_Days_sum,Humid
lai_max,446.0670462284025,1821.6584798858066,Zero_Flow_Days_sum,Humid
soil_conductivity_top,528.7261297993879,1821.6584798858066,Zero_Flow_Days_sum,Humid
evap_surface.mm.day._on.previous,297.8941995701836,1821.6584798858066,Zero_Flow_Days_sum,Humid
evap_canopy.mm.day._jjas.previous,432.77351892726415,1821.6584798858066,Zero_Flow_Days_sum,Humid
evap_surface.mm.day._on,323.721262309761,1821.6584798858066,Zero_Flow_Days_sum,Humid
evap_surface.mm.day..previous,512.8469699597289,1821.6584798858066,Zero_Flow_Days_sum,Humid
urban_pct,936.3260956182207,1821.6584798858066,Zero_Flow_Days_sum,Humid
evap_canopy.mm.day._jjas,485.2151048337095,1821.6584798858066,Zero_Flow_Days_sum,Humid
srad_lw.w.m2.,407.8326174964136,1821.6584798858066,Zero_Flow_Days_sum,Humid
evap_canopy.mm.day..previous,1138.9396611443833,1821.6584798858066,Zero_Flow_Days_sum,Humid
slope_mean,268.5175635325332,1821.6584798858066,Zero_Flow_Days_sum,Humid
pet_mam,313.2992159497201,1821.6584798858066,Zero_Flow_Days_sum,Humid
org_carb_sub_mean,360.18783195426624,1821.6584798858066,Zero_Flow_Days_sum,Humid
dpsbar,594.3312136399506,1821.6584798858066,Zero_Flow_Days_sum,Humid
lai_min,512.0707510694479,1821.6584798858066,Zero_Flow_Days_sum,Humid
evap_surface.mm.day.,479.26138595764473,1821.6584798858066,Zero_Flow_Days_sum,Humid
