hydro_year,gauge_id,annual_zero_flow_days,mean_dry_down_days,first_zero_date,hydro_doy,Zero_Flow_Days_sum,tmax,tmin,tavg,srad_lw(w/m2),srad_sw(w/m2),wind_u(m/s),wind_v(m/s),wind(m/s),rel_hum(%),sm_lvl1(kg/m2),sm_lvl2(kg/m2),sm_lvl3(kg/m2),sm_lvl4(kg/m2),p,pet,aet,evap_canopy(mm/day),evap_surface(mm/day),tmax_djf,tmax_jjas,tmax_mam,tmax_on,tmin_djf,tmin_jjas,tmin_mam,tmin_on,tavg_djf,tavg_jjas,tavg_mam,tavg_on,p_djf,p_jjas,p_mam,p_on,pet_djf,pet_jjas,pet_mam,pet_on,aet_djf,aet_jjas,aet_mam,aet_on,evap_canopy(mm/day)_djf,evap_canopy(mm/day)_jjas,evap_canopy(mm/day)_mam,evap_canopy(mm/day)_on,evap_surface(mm/day)_djf,evap_surface(mm/day)_jjas,evap_surface(mm/day)_mam,evap_surface(mm/day)_on,urban_pct,Total_Dams_So_Far,Total_Volume_So_Far,spei3_drought_count,spei6_drought_count,spei12_drought_count,spei24_drought_count,spei3_drought_valid_n,spei6_drought_valid_n,spei12_drought_valid_n,spei24_drought_valid_n,spei3_drought_max_spell,spei6_drought_max_spell,spei12_drought_max_spell,spei24_drought_max_spell,spei3_drought_count_frac,spei6_drought_count_frac,spei12_drought_count_frac,spei24_drought_count_frac,Urban,Agriculture,Forest,Rangeland,Bare ground,Water,Snow and Ice
2020,9012,NA,NA,NA,NA,0,32.1765847,21.41174863,26.79423497,402.6260656,299.2027596,0.170437158,0.401557377,3.958360656,57.95071038,12.65002732,58.27814208,125.0968306,452.0771038,709.9,1762.1,603.43,153.86,250.82,30.29736264,31.49491803,36.50934783,29.80868852,18.25087912,22.63213115,23.36021739,20.74770492,24.27461538,27.06344262,29.935,25.27770492,14.06,414.51,82.08,199.25,398.48,638.44,503.35,221.83,114,222.64,126.2,140.59,3.63,92.4,42.17,15.66,38.06,103.04,51.91,57.81,1.238,161,1793.7,1,11,12,12,12,12,12,12,1,7,12,12,0.083333333,0.916666667,1,1,3.9,66.7,0.6,27.9,0,0.9,0
2020,9011,NA,NA,NA,NA,0,32.31961749,21.6579235,26.98855191,401.3168852,297.308388,-0.010273224,0.393114754,3.84420765,58.55680328,12.45068306,56.56825137,127.0161475,463.709153,585.82,1754.91,611.12,178.17,240.34,30.26384615,31.88196721,36.54076087,29.89540984,18.44450549,22.9547541,23.55619565,20.99508197,24.35406593,27.41836066,30.04815217,25.44459016,16.57,347.15,58.94,163.16,380.14,662.82,500.82,211.13,115.26,225.33,130.07,140.46,4.65,109.55,48.58,15.39,32.54,109.44,41.96,56.4,0.76,96,707.3,3,12,12,12,12,12,12,12,3,12,12,12,0.25,1,1,1,3.2,47.9,1.5,45.8,0,1.7,0
2020,11007,NA,NA,NA,NA,0,32.05081967,20.20256831,26.12663934,391.6019945,299.3198907,0.839289617,0.189043716,3.122213115,51.58724044,10.82032787,71.86928962,168.0044262,527.1434153,1068.98,1754.56,567.35,111.9,234.2,26.88659341,32.66286885,36.85195652,31.28967213,12.31175824,24.75606557,22.24315217,19.7895082,19.5989011,28.7092623,29.54804348,25.53934426,0,982.99,8.16,77.83,381.23,499.43,630.78,243.12,99.49,226.14,103.18,138.54,0.4,100.16,5.95,5.39,29.14,134.19,23,47.87,1.137,10,183.9,1,6,12,12,12,12,12,12,1,3,12,12,0.083333333,0.5,1,1,5.3,73,2.6,16.9,0,2.2,0
2020,9002,NA,NA,NA,NA,0,32.93857923,22.22710383,27.58265027,406.3259563,294.9568033,-0.011994536,0.405191257,3.727868852,58.25907104,12.39827869,59.56270492,130.1153825,467.6953825,690.8,1747.52,630.52,159.63,235.05,30.6189011,32.75377049,37.11597826,30.46836066,18.87593407,23.65344262,24.10467391,21.54196721,24.74725275,28.20352459,30.6101087,26.0047541,16.78,430.77,67.13,176.12,377.37,647.6,510.83,211.72,126.03,224.69,140.05,139.75,4.37,99.65,40.83,14.78,30.82,114.07,36.71,53.45,1.043,321,3819.9,1,12,12,12,12,12,12,12,1,12,12,12,0.083333333,1,1,1,3.2,55.8,3.4,36.2,0,1.4,0
2020,9001,NA,NA,NA,NA,0,34.49404372,23.60663934,29.0504918,415.0933607,287.1129508,-0.219808743,0.541693989,3.342568306,57.43625683,12.02407104,64.4615847,136.3580055,485.9702186,775.93,1742.57,675.63,149.94,212.28,31.77373626,34.63713115,38.67641304,31.95819672,19.96351648,25.25680328,25.5675,22.78377049,25.86934066,29.94721311,32.12163043,27.37081967,13.47,553.03,58.98,150.45,365.06,636.75,531.31,209.45,147.39,230.32,158.12,139.8,3.37,100.19,35.01,11.37,16.52,131.9,18.39,45.47,1.192,16,532.1,2,10,12,12,12,12,12,12,1,7,12,12,0.166666667,0.833333333,1,1,2.3,56.2,11.7,28,0.1,1.7,0
2020,9005,NA,NA,NA,NA,0,32.69098361,22.16,27.42543716,400.8640984,296.6518852,0.044153005,0.350218579,3.687103825,60.72508197,13.02803279,58.08636612,134.3143169,476.4586339,642.92,1730.06,619.62,174.55,234.19,30.0821978,32.93442623,36.6323913,30.15147541,18.7921978,23.70590164,23.82347826,21.58344262,24.43736264,28.32032787,30.22793478,25.86655738,19.53,389.25,67.77,166.37,361.9,663.02,503.81,201.33,119.13,221.87,139.63,138.99,6.69,104.8,44.94,18.12,37.69,108.21,35.53,52.76,0.441,41,399.8,2,12,12,12,12,12,12,12,2,12,12,12,0.166666667,1,1,1,2.7,42.3,0.9,53.6,0,0.5,0
2020,4051,NA,NA,NA,NA,0,32.96095628,20.77439891,26.86756831,398.7139344,293.3909563,1.328497268,0.737868852,3.798797814,55.89967213,11.63551913,66.57300546,149.0930874,578.9262022,686.1,1729.61,599.06,169.7,216.81,31.41648352,31.41114754,37.90728261,30.90459016,17.19340659,22.35131148,22.68152174,20.08639344,24.30505495,26.88155738,30.29358696,25.4952459,4.82,345.88,79.77,255.63,402.39,595.96,512.08,219.18,90.32,251.13,121.19,136.42,3.14,107.36,44.59,14.61,14.45,111.02,33.25,58.09,0.232,5,43.7,1,12,12,12,12,12,12,12,1,12,12,12,0.083333333,1,1,1,1.1,95.8,0,2.6,0,0.5,0
2020,4055,NA,NA,NA,NA,0,32.71169399,21.28306011,26.99726776,399.9405738,292.4181694,1.063907104,0.662677596,3.926092896,57.15743169,13.67959016,69.28587432,145.6264481,555.0515574,634.19,1715.22,615,170.56,245.8,31.48340659,30.94377049,37.60108696,30.7057377,18.06714286,22.4904918,23.37021739,20.51786885,24.77472527,26.71770492,30.48521739,25.61147541,1.69,372.55,97.36,162.59,411.18,584.84,502.45,216.75,103.98,244.81,127.74,138.47,4.23,112.56,40.81,12.96,19.56,132.25,35.77,58.22,0.48,0,0,2,12,12,12,12,12,12,12,2,12,12,12,0.166666667,1,1,1,1.1,98.6,0,0.2,0,0.1,0
2020,4024,NA,NA,NA,NA,0,32.73860656,20.84535519,26.79180328,397.8250273,293.599918,1.30295082,0.788497268,3.86057377,57.37510929,12.75,68.17756831,149.394153,569.3990984,735.48,1709.42,604.6,174.49,235.41,31.46626374,30.97401639,37.61913043,30.80508197,17.43153846,22.29811475,22.73815217,20.17786885,24.44879121,26.63590164,30.17858696,25.49098361,3.89,399.9,93.13,238.56,405.83,585.69,498.05,219.85,85.89,255.87,126.31,136.53,3.96,109.66,46.13,14.74,17.82,123.01,36.39,58.19,0.315,2,74,0,12,12,12,12,12,12,12,0,12,12,12,0,1,1,1,0.9,94.8,0,3.6,0,0.7,0
2020,9008,NA,NA,NA,NA,0,34.32521858,23.67844262,29.00185792,412.1937705,286.413388,-0.137103825,0.117131148,2.936912568,62.64043716,12.48819672,60.76262295,137.1502732,448.1836339,768.66,1700.52,684.29,152.07,223.81,31.51230769,34.70081967,38.28130435,31.80377049,20.05637363,25.37270492,25.52282609,22.91163934,25.78428571,30.03737705,31.90173913,27.35721311,72.18,386.85,76.42,233.21,325.16,681.55,500.73,193.08,159.65,223.69,163.27,137.68,8.06,100.29,32.37,11.35,21.2,137.06,19.31,46.24,0.535,2,31.6,3,11,12,12,12,12,12,12,3,8,12,12,0.25,0.916666667,1,1,1.7,39.2,7,50.9,0,1.2,0
