gauge_id,num_dams,res_store_sum,n_dams,first_dam_year,last_dam_year,total_storage,reservoir_index,irrigation_frac,hydroelec_frac,drinking_frac,flood_frac,overflow_frac,navigation_frac,tailing_frac,pop_density_2000,pop_density_2005,pop_density_2010,pop_density_2015,pop_density_2020,urban_frac_1985,urban_frac_1995,urban_frac_2005,crops_frac_1985,crops_frac_1995,crops_frac_2005,geol_porosity,geol_permeability,carb_rocks_frac,lai_mean,lai_min,lai_max,lai_diff,soil_depth,soil_conductivity_top,soil_conductivity_sub,soil_awc_top,soil_awc_sub,soil_awsc_min,soil_awsc_max,soil_awsc_major,sand_frac_top,sand_frac_sub,silt_frac_top,silt_frac_sub,clay_frac_top,clay_frac_sub,gravel_frac_top,gravel_frac_sub,bulkdens_top_major,bulkdense_top_mean,bulkdens_sub_mean,org_carb_top_major,org_carb_top_mean,org_carb_sub_major,org_carb_sub_mean,organic_frac_top,organic_frac_sub,wtd,cwc_lat,cwc_lon,elev_mean,elev_median,elev_min,elev_max,slope_mean,slope_median,slope_min,slope_max,cwc_area,dpsbar,sinuosity,region
3002,0,0,1,1982,1982,860000,0.000687915,1,0,0,0,0,0,0,117.1116196,132.9381333,151.3520174,161.9083857,171.5353851,0.002045901,0.00236185,0.002698517,0.467925975,0.498614485,0.510138862,0.040716875,0.725922514,0,1.185,0.519,7.231,6.712,1.230545152,11.61800458,4.103030655,0.228572654,0.23985179,150,150,150,79,68,11,10,10,22,7,4,1.59,1.59,1.45,0.53,0.53,0.3,0.3,0.022702837,0.009654721,-0.895145957,19.2967,81.7889,622.653992,625,535,783,3.028556683,2.68021369,0,39.35842133,1968,2.54963375,1.6297,Humid
3005,109,57631.899,177,1903,2013,10731908100,0.507788022,0.928961749,0.016393443,0.005464481,0.027322404,0.005464481,0,0,210.474674,222.4414516,234.0552992,249.9443627,265.1050572,0.00651266,0.006843618,0.006950115,0.4922805,0.4800817,0.487042115,0.045582805,0.729256467,0,1.152,0.258,7.773,7.515,3.750493971,6.795325139,2.955743283,0.19661467,0.195693625,25,150,125,16,15,29,28,55,57,4,5,1.21,1.273247911,1.218816101,0.75,0.956512535,0.45,0.320389972,0.020041878,0.007881991,-0.098990671,19.6867,79.7856,404.3925749,338,144,1204,3.946640423,2.074370861,0,116.3840637,50990,4.225263319,2.4396,Humid
3008,211,151909.551,315,1800,2016,6605221178,0.688826382,0.946031746,0.006349206,0,0.003174603,0,0,0.003174603,202.0284066,214.6487951,229.1077083,240.6401601,254.3816375,0.004876843,0.010087903,0.010749224,0.744807418,0.738861557,0.768538932,0.098231527,0.744677505,0,0.831,0.202,7.525,7.323,2.611732908,8.152887028,3.780944487,0.197109513,0.194444501,25,150,125,16,15,29,28,55,57,4,5,1.21,1.25834891,1.232137931,0.75,0.874087227,0.45,0.409426791,0.016114092,0.00723606,-0.091358628,19.8139,79.3794,364.6207389,344,106,946,3.274947583,1.779052377,0,108.7554245,46020,3.437317544,1.9406,Dry_sub_humid
3009,18,5140.52,29,1967,2015,264259000,1.430794086,0.966666667,0,0,0,0,0,0,238.2951314,258.7800073,279.3332748,303.7983631,328.1593731,0.001929539,0.003011963,0.003572,0.783402201,0.783124535,0.82551321,0.090000004,0.749894209,0,0.616,0.364,0.909,0.545,1.435415868,10.80440007,4.368577098,0.204403291,0.205039382,125,150,125,21,18,28,28,51,54,5,5,1.23,1.220277778,1.215138889,0.97,0.863055556,0.45,0.45,0.01703139,0.008369872,-1.220475747,18.705,77.545,493.5038492,498,353,668,3.499383645,2.666912317,0,29.10052299,2105,4.176664222,1.438,Dry_sub_humid
3013,1,0,4,1986,2001,130165000,0.122752517,1,0,0,0,0,0,0,109.5540525,112.3402763,118.9853488,123.5707934,129.2423627,0.003333857,0.004204242,0.004223095,0.378931658,0.397388845,0.43743912,0.128084289,0.724564658,0,1.106,0.311,7.498,7.188,4.385316456,8.3316246,3.67640341,0.213247774,0.21100175,125,150,150,47,39,29,27,24,34,9,8,1.39,1.377636364,1.321272727,0.86,0.884727273,0.38,0.398181818,0.021743015,0.008641142,-1.363499504,19.3303,79.5042,375.99271,384,160,656,8.145506079,4.588329315,0,70.93083954,3100,8.120645244,1.2685,Dry_sub_humid
3014,18,0,29,1970,2015,827734800,,0.8125,0,0,0.03125,0,0,0.03125,169.6346023,178.6250858,189.7035222,198.485589,209.0519786,0.003627298,0.003627298,0.003609262,0.668132282,0.626318152,0.727966669,0.090410983,0.749866916,0,0.855,0.378,7.525,7.147,1.955931662,5.83445953,2.754328894,0.195200393,0.187543885,25,125,125,16,15,29,28,55,57,4,5,1.21,1.255780347,1.212706767,0.75,0.946069364,0.45,0.345953757,0.016045611,0.006413868,-0.541485631,21.1072,78.1331,470.677791,434,287,946,4.402450513,2.301902294,0,108.7554245,5000,5.187127927,1.8945,Semi_arid
3017,1,0,1,1981,1981,1249000,0.000798313,1,0,0,0,0,0,0,73.14753724,68.98930528,68.52158714,76.65371349,85.45797956,0,0,0,0.445131466,0.516540532,0.578391979,0.015526509,0.723336015,0,1.216,0.722,1.949,1.227,1.174319066,11.77083012,3.996230286,0.228418916,0.237775545,150,150,150,79,68,11,10,10,22,7,4,1.59,1.59,1.45,0.53,0.53,0.3,0.3,0.022231584,0.009198221,-3.087911394,19.6464,81.4861,650.2287689,637,570,843,4.763498273,3.461853504,0,52.77690506,890,3.81918252,1.4176,Humid
3018,10,0,16,1966,2013,9386405000,1.144136011,0.727272727,0.181818182,0,0.045454545,0,0,0,125.4610188,136.5062879,148.9530958,161.4473264,174.5188517,0.004521385,0.005448122,0.00588286,0.454130427,0.475663295,0.503927373,0.089134996,0.730889696,0,1.188,0.222,7.231,7.009,1.780813927,12.11851305,4.176134565,0.234406933,0.24469977,25,150,150,79,68,11,10,10,22,7,4,1.59,1.557483871,1.440452962,0.53,0.614193548,0.3,0.275548387,0.025245705,0.010628702,-0.358396832,19.0794,81.3011,644.8308084,617,327,1381,6.741576508,3.336306095,0,92.39456177,17270,4.916892403,1.4907,Humid
3019,15,0,33,1966,2015,869887000,3.849084142,0.916666667,0,0,0.027777778,0,0,0,234.4791334,254.2439991,267.7656516,294.7533284,313.5595531,0.003375506,0.004645857,0.004697708,0.830457327,0.828315877,0.834118013,0.089812772,0.749829554,0,0.645,0.388,0.934,0.546,1.334456613,12.48132708,4.86601617,0.206575356,0.21052653,125,150,150,21,18,28,28,51,54,5,5,1.23,1.225223881,1.21761194,0.97,0.917462687,0.45,0.45,0.017601217,0.008326878,-1.365900681,18.5622,77.5831,500.7325705,503,357,688,3.77639872,2.828687668,0,32.14984512,1900,4.906524009,1.4707,Dry_sub_humid
3020,130,0,235,1904,2015,6362319473,5.780322899,0.923766816,0.044843049,0,0,0.004484305,0,0,284.2067187,310.4125429,340.1264952,372.3196828,408.535,0.004608332,0.008369218,0.009772509,0.781628211,0.822093537,0.84581721,0.090000004,0.749894209,0,0.679,0.176,7.672,7.495,1.804956014,8.527885281,3.66008193,0.21159166,0.215844699,50,150,125,16,15,29,28,55,57,4,5,1.21,1.247988722,1.243731203,0.75,0.907349624,0.45,0.468552632,0.017827406,0.008599711,-0.166479169,19.2203,76.3633,577.5161957,553,385,1528,4.015958201,1.686703444,0,156.9631348,30840,4.78567691,1.5399,Semi_arid
3024,3,0,4,1928,1999,25040000,0.300530681,1,0,0,0,0,0,0,211.4197338,222.0000517,232.6773113,243.762114,253.3969448,0.002527533,0.002527533,0.002506529,0.479139098,0.486658685,0.513467342,0.017277827,0.72519627,0,0.906,0.556,7.169,6.613,1.690381332,11.76739454,5.066202338,0.217933247,0.219641942,125,150,125,20,20,24,22,56,58,2,4,1.22,1.232830189,1.219056604,1.2,1.174339623,0.63,0.611132075,0.017835257,0.007467895,-2.193312257,18.8289,78.4367,429.5074944,409,314,667,3.422843514,1.968824387,0,45.60498047,1360,4.278484476,1.2752,Dry_sub_humid
3028,86,0,120,1800,2016,2241450478,0.609092255,0.94214876,0,0,0.008264463,0,0,0.008264463,201.8631925,212.8372046,225.369336,233.6812987,243.5831491,0.00646262,0.011374011,0.012019271,0.768450179,0.75215124,0.78924989,0.099191336,0.748053651,0,0.829,0.202,7.525,7.323,2.200939457,7.110031245,3.303502394,0.194915225,0.188592921,25,150,125,16,15,29,28,55,57,4,5,1.21,1.250043541,1.211970803,0.75,0.922249637,0.45,0.368011611,0.015299102,0.006448727,-0.148245618,19.9472,79.0892,336.4648941,309,118,946,2.84445725,1.600147367,0,108.7554245,21429,3.358350356,1.7484,Dry_sub_humid
3029,137,0,259,1904,2015,6453951473,4.887640704,0.931174089,0.04048583,0,0,0.004048583,0,0,282.5074078,308.7243963,338.2165803,369.9529764,405.4706812,0.004589848,0.008158382,0.009450035,0.784557845,0.82321662,0.846759481,0.090000004,0.749894209,0,0.678,0.176,7.672,7.495,1.78638492,8.566849488,3.691248425,0.210827734,0.214799173,50,150,125,16,15,29,28,55,57,4,5,1.21,1.245476603,1.241325823,0.75,0.900034662,0.45,0.467105719,0.017700682,0.008580069,-0.150406271,19.0217,76.7292,568.8862464,546,364,1528,3.951173212,1.686703444,0,156.9631348,33934,4.777294299,1.6092,Semi_arid
3030,43,0,67,1800,2016,1544280088,1.048609061,0.898550725,0,0,0.014492754,0,0,0.014492754,180.6864545,190.0114453,198.2191109,210.542092,221.2261006,0.004701385,0.005151539,0.0052796,0.762802204,0.741090069,0.796053397,0.090199027,0.749880992,0,0.8,0.32,7.525,7.205,1.743386859,6.685943174,3.071089135,0.195612705,0.18785631,25,150,125,16,15,29,28,55,57,4,5,1.21,1.240422535,1.212772277,0.75,0.868760563,0.45,0.383295775,0.014869009,0.006238748,-0.292845741,20.5472,78.3247,394.5460203,366,232,946,3.247171636,1.738614082,0,108.7554245,10240,3.912982292,1.7458,Dry_sub_humid
3031,7,0,11,1966,2004,9310695000,2.55172471,0.647058824,0.235294118,0,0.058823529,0,0,0,175.1533514,193.0740808,211.1250393,229.0091958,246.5426846,0.008080076,0.009568009,0.010237034,0.561042044,0.586060302,0.605263086,0.085478616,0.730483488,0,1.058,0.222,2.419,2.197,2.030496532,13.29492581,4.415606574,0.238609529,0.249355079,150,150,150,79,69,7,10,12,23,10,10,1.56,1.546929134,1.428385827,0.53,0.578070866,0.26,0.294724409,0.025360862,0.00954588,-0.897086864,19.1081,82.0228,696.9948081,622,532,1381,8.794801201,3.578038216,0,92.39456177,7380,5.208365232,1.3796,Humid
3038,22,0,42,1800,2003,215991000,0.428956028,0.95,0.025,0,0,0,0,0,247.0582145,264.0162757,289.5941228,312.8120036,336.884281,0.006495564,0.006495564,0.006464444,0.935618663,0.934328603,0.943786212,0.090000004,0.749894209,0,0.729,0.411,1.012,0.601,1.450296398,6.583948882,3.42375458,0.197464273,0.196987073,125,150,125,16,15,29,28,55,57,4,5,1.21,1.212580645,1.211290323,0.75,0.778387097,0.45,0.45,0.016639052,0.009856686,-0.978706253,19.9611,77.1481,562.8214101,550,468,740,2.0887937,1.622219443,0,19.44652748,3515,2.525515799,1,Dry_sub_humid
3040,6,0,7,1976,2001,2328444000,2.324730531,1,0,0,0,0,0,0,160.369282,175.6438869,188.5570648,202.8207958,219.7997772,0.001255308,0.001255308,0.001245501,0.670193952,0.636689648,0.541554294,0.100046621,0.749108874,0,0.856,0.342,7.127,6.785,1.802849741,6.589595868,2.670101024,0.191409419,0.184475753,25,125,125,16,15,29,28,55,57,4,5,1.21,1.213302752,1.21,0.75,0.761926606,0.45,0.441743119,0.019469641,0.007678467,-0.791065859,22.3819,79.9,611.5832207,605,430,1028,4.253159706,2.451529264,0,59.14565659,2970,4.900251163,2.473,Humid
3043,714,0,1273,1781,2016,53637530255,0.666294955,0.934504792,0.023961661,0.000798722,0.007188498,0.002396166,0,0.000798722,195.0235211,208.6969785,223.5061518,239.3832197,256.4679198,0.005011786,0.007263582,0.007798056,0.581058327,0.585591442,0.608963393,0.077398655,0.735270684,0,1.026,0.124,9.039,8.914,3.825011559,10.42260393,4.123374857,0.213331058,0.216743394,25,150,125,16,15,29,28,55,57,4,5,1.21,1.326664124,1.282099436,0.75,0.862783436,0.45,0.384226559,0.020626613,0.009128968,-0.025106612,17.4875,81.3875,436.1068997,425,11,1664,4.773591943,2.108379364,0,156.9631348,305460,4.78890407,1.5838,Humid
3045,8,0,13,1781,2000,6478365000,0.440403083,0.65,0.25,0,0,0,0,0,95.1988825,102.6840193,110.5158602,118.9770089,129.6596602,0.006416466,0.006993072,0.006435654,0.399812455,0.400079111,0.399447403,0.055111263,0.727287884,0,1.436,0.124,7.819,7.695,2.806883519,14.75410996,4.990978209,0.247452651,0.262699952,125,150,150,79,69,7,10,12,23,10,10,1.56,1.570373027,1.449268293,0.53,0.51954089,0.26,0.27615495,0.030244353,0.012376322,-0.588009304,17.7989,81.3928,563.6983117,557,34,1664,12.76588259,6.248775005,0,141.7036743,19550,10.63455307,2.2906,Humid
3047,0,0,1,1966,1966,29820000,,1,0,0,0,0,0,0,177.1438464,194.0604629,210.9628425,229.4222144,250.5423137,0.008569569,0.010922468,0.012821508,0.702483682,0.727863938,0.753238222,0.059087925,0.727720766,0,1.005,0.404,2.2,1.796,1.235634959,12.44982911,4.216971963,0.227862195,0.234266143,150,150,150,79,68,11,10,10,22,7,4,1.59,1.541724138,1.421034483,0.53,0.609655172,0.3,0.319310345,0.02236233,0.009122186,-1.174853495,19.2772,82.2333,617.5735212,610,549,929,3.362185956,2.458771706,0,65.47418976,1635,2.686543824,1.8809,Humid
