predictor,ImpCondPerm
sm_lvl2.kg.m2..previous,508.6976706
carb_rocks_frac,381.5606804
pet_djf,372.5775494
sm_lvl4.kg.m2.,320.2256393
tavg.previous,303.4416944
soil_conductivity_top,293.8443214
tavg_on,285.4098527
aet_mam,285.2357707
wind_u.m.s.,257.977505
elev_mean,244.8864256
sm_lvl3.kg.m2.,230.9297517
p_on,227.3061725
elev_min,211.8292925
tmax_on.previous,202.4663106
tmax.previous,200.4539951
wind.m.s.,196.1461279
tavg,191.8192273
tmin_jjas,183.3974053
rel_hum...,182.9424296
aet_on,180.3501317
lai_max,174.3255504
tmin,162.5843243
evap_surface.mm.day._djf,161.4894041
srad_sw.w.m2.,159.4820057
pet.previous,158.551531
evap_canopy.mm.day._djf.previous,145.2048415
evap_canopy.mm.day..previous,127.6367441
evap_surface.mm.day.,126.2100226
evap_surface.mm.day._jjas,115.7818995
tavg_on.previous,112.4565957
sm_lvl2.kg.m2.,111.5628378
wind_u.m.s..previous,100.7781988
slope_mean,99.91756584
tmax_djf.previous,96.77443656
tmin_on.previous,84.5308908
evap_canopy.mm.day._mam.previous,74.71357849
Total_Dams_So_Far,70.39792864
soil_awsc_min,64.57152354
pet,60.77648321
tmax,56.43612127
aet.previous,53.47627813
slope_max,51.95981086
silt_frac_top,46.56303595
aet_on.previous,40.69642327
evap_surface.mm.day._jjas.previous,40.5265777
organic_frac_top,39.79578572
spei3_drought_valid_n.previous,38.20127632
gravel_frac_sub,32.93897418
aet,31.91300301
p_mam,27.82506491
tmax_djf,26.71855689
org_carb_top_mean,25.78799338
p_on.previous,20.82678151
cwc_lon,17.10563798
sinuosity,14.14794701
evap_canopy.mm.day._jjas,9.329283548
soil_awc_top,1.950976984
srad_lw.w.m2.,-2.672110221
spei24_drought_count.previous,-8.133217483
geol_porosity,-13.07962205
pet_jjas,-16.7247287
elev_max,-21.39718554
spei6_drought_count.previous,-24.37589846
soil_depth,-29.89179935
evap_canopy.mm.day._on.previous,-32.75670303
spei3_drought_count.previous,-35.3742246
dpsbar,-36.60333794
org_carb_sub_major,-38.5250085
tmax_on,-38.71058664
sm_lvl1.kg.m2.,-41.44304295
wind_v.m.s..previous,-49.24856792
res_store_sum,-51.33691049
pet_mam,-56.27309204
p_djf,-59.59736847
evap_surface.mm.day._on.previous,-59.65801157
urban_pct,-64.17770107
evap_surface.mm.day..previous,-65.35609029
tmin_on,-84.61278581
evap_canopy.mm.day._on,-92.52683681
evap_surface.mm.day._mam,-109.2139303
spei12_drought_count.previous,-131.2038668
sand_frac_sub,-170.0433069
tmax_jjas,-199.1422326
clay_frac_sub,-346.2907938
evap_canopy.mm.day._djf,-464.7627185
