predictor,ImpCondPerm
lai_min,223.6643939
urban_pct,208.0060309
elev_min,189.0077709
org_carb_sub_mean,178.8415423
geol_porosity,167.7912893
rel_hum...,158.7606681
cwc_lon,156.4580775
org_carb_sub_major,154.8651544
tmax,150.9061273
tmax_djf,139.2167863
tmax_on,138.7037333
wind_v.m.s.,138.4560669
slope_max,138.2816135
elev_mean,135.6701579
aet_mam.previous,128.4184763
sinuosity,127.7406092
spei6_drought_count,126.1883227
tmax_mam,122.2044743
evap_surface.mm.day._on.previous,117.8747559
spei12_drought_count,115.2281298
evap_surface.mm.day._djf.previous,114.5138033
evap_surface.mm.day._djf,114.2103536
aet,114.1290382
evap_canopy.mm.day._on,113.3026294
elev_max,108.9495577
soil_awc_top,104.950814
lai_max,99.19750967
silt_frac_top,93.17386615
evap_surface.mm.day._mam,93.16011747
sm_lvl1.kg.m2.,91.5612763
clay_frac_sub,88.11367205
org_carb_top_mean,84.88397535
organic_frac_top,84.33273102
tmin_jjas,81.81732163
pet.previous,80.01471835
tmax.previous,79.95039637
res_store_sum,79.69348015
sand_frac_top,78.63028642
soil_awsc_major,77.35722758
dpsbar,77.18135153
org_carb_top_major,76.61996316
evap_canopy.mm.day..previous,75.26387657
slope_mean,73.54788835
soil_awsc_min,70.93693398
evap_surface.mm.day._mam.previous,70.57572958
sm_lvl3.kg.m2..previous,68.98863864
tmax_djf.previous,66.85015072
p,64.98288838
silt_frac_sub,64.21359035
aet_mam,60.56869516
tmax_jjas,60.09584515
wind_v.m.s..previous,57.94936196
evap_canopy.mm.day._mam.previous,57.10885275
cwc_lat,52.23633771
evap_surface.mm.day._jjas.previous,49.36861138
tmax_on.previous,45.63366694
evap_canopy.mm.day._jjas.previous,45.43237754
aet_on,43.06420637
pet_jjas,41.05075953
tavg,40.9517533
tavg_on.previous,40.24912886
srad_sw.w.m2.,39.48084134
p_on,38.94109689
sand_frac_sub,38.80311828
evap_canopy.mm.day.,38.17144518
evap_canopy.mm.day._jjas,33.86617632
soil_depth,33.43792881
evap_surface.mm.day..previous,28.33593182
sm_lvl1.kg.m2..previous,27.7533289
pet_mam,26.61436302
tmin_on,24.39748439
spei3_drought_count,18.60118979
p_mam,17.5269332
pet,16.36509691
tavg.previous,8.314710486
p_mam.previous,8.016112684
sm_lvl2.kg.m2..previous,6.070457274
soil_awsc_max,3.916279419
geol_permeability,-0.992645784
sm_lvl4.kg.m2.,-1.26991187
aet.previous,-3.608143129
pet_on.previous,-5.192966621
pet_jjas.previous,-6.008051004
tavg_on,-6.582456025
lai_mean,-7.558479748
spei24_drought_count,-11.83185795
evap_canopy.mm.day._djf,-15.30429091
gravel_frac_sub,-15.33825814
p_djf,-25.36133648
spei3_drought_max_spell.previous,-26.19386339
p.previous,-27.5221441
sm_lvl2.kg.m2.,-28.91687987
evap_surface.mm.day.,-46.71298492
pet_mam.previous,-107.6637772
