metric,mk_tau,mk_p,sen_slope,lin_slope,lin_r2,lin_p,pois_slope,pois_r2,pois_p,mw_p,mw_meanGroup1,mw_meanGroup2,mw_medianGroup1,mw_medianGroup2,n_yrGroup1,n_yrGroup2,gauge_id
annual_zero_flow_days,0.385714286,0.015655212,8.34375,6.531168831,0.311291148,0.008582924,NA,NA,NA,NA,94.2,119.6875,119,107.5,5,16,3002
mean_dry_down_days,0.467836257,0.005682634,4.156410257,3.981704649,0.512963015,5.62E-04,NA,NA,NA,NA,26.12613014,52.63737021,26.65784167,43,4,15,3002
hydro_doy,-0.385964912,0.01989254,-4,-4.580254579,0.403727611,0.00346199,-0.017054819,0.403727611,3.86E-13,NA,282.5,265.8,274.5,274,4,15,3002
Zero_Flow_Days_sum,0.2485482,0.011364266,0,2.168381817,0.120355477,0.024393038,0.039924228,0.120355477,3.64E-108,0.006757367,24.78947368,83.26086957,0,63,19,23,3002
tmax,0.110336818,0.30833848,0.008395548,-0.005849892,0.009053035,0.548919947,NA,NA,NA,0.130474307,32.65825663,32.73799681,32.57021858,32.76824658,19,23,3002
tmin,-0.110336818,0.30833848,-0.005560339,-0.005815369,0.029862692,0.273785489,NA,NA,NA,0.707589373,20.76086006,20.66397683,20.69473973,20.65230137,19,23,3002
tavg,0.005807201,0.965422887,8.46E-05,-0.005835044,0.020272686,0.368391903,NA,NA,NA,0.483257909,26.70960435,26.70098391,26.64863014,26.70164384,19,23,3002
srad_lw(w/m2),0.493612079,4.33E-06,0.231839543,0.257954887,0.401117972,6.75E-06,NA,NA,NA,0.003541326,377.9572249,381.8791125,377.1839726,381.7022192,19,23,3002
srad_sw(w/m2),-0.040650407,0.712521888,-0.042925636,-0.161206815,0.03731934,0.22028632,NA,NA,NA,0.880785217,286.901972,286.7896256,286.6384384,286.8537808,19,23,3002
wind_u(m/s),-0.263646922,0.014315405,-0.005279241,-0.006050043,0.202440645,0.002793432,NA,NA,NA,0.050968308,0.834576154,0.728385777,0.798164384,0.750657534,19,23,3002
wind_v(m/s),-0.307781649,0.004222128,-0.005222385,-0.00511338,0.221838238,0.001643085,NA,NA,NA,1.24E-04,0.040936588,-0.108735947,0.050356164,-0.103863014,19,23,3002
wind(m/s),-0.25203252,0.019238551,-0.002857122,-0.002605057,0.098494281,0.042972414,NA,NA,NA,0.081167749,2.121338922,2.066731039,2.123287671,2.083753425,19,23,3002
rel_hum(%),-0.008130081,0.948154624,-0.00569863,0.080516344,0.037453374,0.219443615,NA,NA,NA,0.237725688,60.7062355,60.82285002,62.89396175,60.30838356,19,23,3002
sm_lvl1(kg/m2),0.31475029,0.00343246,0.047746575,0.096185218,0.218205589,0.001816045,NA,NA,NA,0.045070362,13.29958224,14.89276621,13.38589041,14.42526027,19,23,3002
sm_lvl2(kg/m2),0.235772358,0.028585747,0.093151515,0.143610819,0.178610767,0.00529982,NA,NA,NA,0.020319771,60.9161887,63.85241362,61.27142466,63.34243836,19,23,3002
sm_lvl3(kg/m2),0.245063879,0.022854884,0.2578111,0.364545109,0.15634742,0.009548131,NA,NA,NA,0.04233918,165.7413203,173.0352853,169.3461918,174.4681918,19,23,3002
sm_lvl4(kg/m2),0.419279907,9.56E-05,1.891183253,2.004951072,0.267150737,4.57E-04,NA,NA,NA,1.78E-04,467.7660905,515.2609092,479.6393151,518.944153,19,23,3002
p,0.206736353,0.055069109,5.738684211,8.31796775,0.11192875,0.03034319,NA,NA,NA,0.168418312,1237.628947,1369.896087,1276.74,1360.78,19,23,3002
pet,-0.008130081,0.948154624,-0.079565217,2.673037841,0.074107931,0.081141097,NA,NA,NA,0.880785217,982.0910526,1023.37087,1016.43,1008.72,19,23,3002
aet,0.275261324,0.010539001,2.135,2.91638522,0.128071155,0.01996914,NA,NA,NA,0.032744598,596.2321053,652.5313043,613.83,659.88,19,23,3002
evap_canopy(mm/day),-0.240418118,0.02558179,-1.635714286,-4.108697836,0.397020727,7.77E-06,NA,NA,NA,0.00126253,205.0142105,106.8778261,260.5,107.26,19,23,3002
evap_surface(mm/day),-0.205574913,0.05647133,-3.07,-5.840189612,0.375241759,1.62E-05,NA,NA,NA,0.07253794,393.9105263,266.4530435,466.09,271.86,19,23,3002
tmax_djf,0.096399535,0.374182649,0.009291667,0.008501734,0.019138369,0.382275983,NA,NA,NA,0.100856208,29.32052789,29.72447313,29.24655556,29.69355556,19,23,3002
tmax_jjas,0.036585366,0.744631515,0.004163935,0.005407837,0.013568442,0.468287704,NA,NA,NA,0.785012686,31.6765255,31.78624376,31.62860655,31.76606557,18,23,3002
tmax_mam,0.095121951,0.387116054,0.009179349,0.009327469,0.021294502,0.362624832,NA,NA,NA,0.155730714,38.04539474,38.38521739,38.18391304,38.43038044,19,22,3002
tmax_on,0.17804878,0.103391152,0.015309534,0.016171646,0.081852366,0.069772322,NA,NA,NA,0.059797675,30.53723133,30.99180328,30.60409836,31.04770492,18,23,3002
tmin_djf,-0.221835075,0.039484279,-0.025976608,-0.023989172,0.105437447,0.035897291,NA,NA,NA,0.060985093,15.06062114,14.50152125,15.24011111,14.35044444,19,23,3002
tmin_jjas,-0.104878049,0.339721974,-0.005029699,-0.005159879,0.024126441,0.332185079,NA,NA,NA,0.576110969,23.65515483,23.59587669,23.70852459,23.51401639,18,23,3002
tmin_mam,-0.036585366,0.744631515,-0.003973684,-0.003794122,0.006559762,0.614686978,NA,NA,NA,0.969066991,23.69737414,23.72849308,23.77771739,23.75597826,19,22,3002
tmin_on,0.143902439,0.188800185,0.014218639,0.013032901,0.048742768,0.165400905,NA,NA,NA,0.290816169,18.91977231,19.20886671,18.95147541,19.13098361,18,23,3002
tavg_djf,-0.133565621,0.216658468,-0.00960989,-0.007751039,0.022348838,0.344696456,NA,NA,NA,0.582000635,22.1907905,22.11301564,22.21077778,22.05444444,19,23,3002
tavg_jjas,-0.012195122,0.919481046,-5.18E-04,1.26E-04,1.27E-05,0.982379949,NA,NA,NA,0.989638561,27.66584244,27.69102994,27.66295082,27.6692623,18,23,3002
tavg_mam,0.048780488,0.661353238,0.003367094,0.0027646,0.002929298,0.736806504,NA,NA,NA,0.330618111,30.87129291,31.05684783,31.05684783,31.08918478,19,22,3002
tavg_on,0.224390244,0.039836074,0.014245902,0.014597475,0.126456045,0.022505466,NA,NA,NA,0.020335302,24.7285428,25.10032074,24.77393443,25.14180328,18,23,3002
