predictor,ImpCondPerm
p,1388.118523
organic_frac_top,1365.957556
spei6_drought_count,1187.421739
soil_awc_top,1094.4406
gravel_frac_top,1072.858706
lai_mean,1067.487301
silt_frac_sub,1049.604169
slope_mean,1030.083006
sm_lvl1.kg.m2.,922.8889732
soil_depth,891.7923767
lai_min,858.795704
geol_porosity,854.2590396
evap_surface.mm.day._djf,828.4301228
aet_jjas,773.6634261
dpsbar,674.700122
pet_on,638.7019344
clay_frac_sub,581.595929
tmax.previous,553.8141978
aet.previous,534.9096406
p.previous,512.2259837
rel_hum...,474.1600792
silt_frac_top,383.2757582
sm_lvl1.kg.m2..previous,344.630154
sand_frac_top,318.9430637
soil_awsc_major,167.1040404
sm_lvl2.kg.m2.,54.00953087
wind_v.m.s..previous,48.9726352
sm_lvl3.kg.m2.,13.20265217
urban_pct,-11.89030621
aet,-22.1851312
soil_awsc_min,-37.18526932
org_carb_sub_major,-45.322866
p_djf,-68.26532097
sand_frac_sub,-69.18546556
wind.m.s.,-117.7228219
spei12_drought_count.previous,-155.0829797
gravel_frac_sub,-188.4970319
cwc_lat,-244.8895215
evap_canopy.mm.day._djf,-264.3511128
tmax_djf,-314.7015736
srad_sw.w.m2.,-341.3934837
elev_max,-365.2101278
geol_permeability,-402.638403
tmax_on,-405.1485128
tmax_mam,-445.7036173
pet,-559.2595094
evap_surface.mm.day._mam.previous,-644.4496944
spei6_drought_count.previous,-1337.477601
soil_awsc_max,-1552.858843
evap_surface.mm.day._jjas,-1854.192017
