gauge_id,CWC_RIVER,AI,region
3008,Godavari,0.602100015,Dry_sub_humid
3009,Godavari,0.501999974,Dry_sub_humid
3013,Godavari,0.566500008,Dry_sub_humid
3019,Godavari,0.517799973,Dry_sub_humid
3024,Godavari,0.501100004,Dry_sub_humid
3028,Godavari,0.608500004,Dry_sub_humid
3030,Godavari,0.527700007,Dry_sub_humid
3038,Godavari,0.524100006,Dry_sub_humid
3055,Godavari,0.557099998,Dry_sub_humid
3056,Godavari,0.500199974,Dry_sub_humid
3064,Godavari,0.637899995,Dry_sub_humid
3073,Godavari,0.632000029,Dry_sub_humid
3074,Godavari,0.585099995,Dry_sub_humid
3083,Godavari,0.553200006,Dry_sub_humid
3087,Godavari,0.617600024,Dry_sub_humid
3094,Godavari,0.622099996,Dry_sub_humid
3098,Godavari,0.572399974,Dry_sub_humid
4028,Krishna,0.531700015,Dry_sub_humid
4050,Tungabhadra,0.595799983,Dry_sub_humid
4060,Krishna,0.500699997,Dry_sub_humid
5015,Cauvery,0.519999981,Dry_sub_humid
5024,Cauvery,0.628099978,Dry_sub_humid
12006,Narmada,0.643899977,Dry_sub_humid
12020,Narmada,0.57249999,Dry_sub_humid
12025,Narmada,0.579699993,Dry_sub_humid
13006,Tapi,0.558099985,Dry_sub_humid
13007,Tapi,0.627499998,Dry_sub_humid
16001,Sarada,0.628099978,Dry_sub_humid
16014,Nagavali,0.594200015,Dry_sub_humid
17009,Vellar,0.610800028,Dry_sub_humid
17012,Swarnamukhi,0.552699983,Dry_sub_humid
17022,Ponnaiyar,0.521499991,Dry_sub_humid
17024,Ponnaiyar,0.562600017,Dry_sub_humid
3002,Godavari,0.850600004,Humid
3005,Godavari,0.715699971,Humid
3017,Godavari,0.862800002,Humid
3018,Godavari,0.844299972,Humid
3031,Godavari,0.876299977,Humid
3040,Godavari,0.75819999,Humid
3043,Godavari,0.761300027,Humid
3045,Godavari,0.800400019,Humid
3047,Godavari,0.9005,Humid
3048,Godavari,0.891300023,Humid
3057,Godavari,0.995800018,Humid
3068,Godavari,0.92750001,Humid
3071,Godavari,0.825500011,Humid
3072,Godavari,0.7852,Humid
3075,Godavari,0.719099998,Humid
3076,Godavari,0.905099988,Humid
3081,Godavari,0.907100022,Humid
3082,Godavari,0.716499984,Humid
3089,Godavari,0.841799974,Humid
3092,Godavari,0.912199974,Humid
3099,Godavari,0.856000006,Humid
3103,Godavari,0.698000014,Humid
3105,Godavari,0.850899994,Humid
3107,Godavari,0.853900015,Humid
5010,Cauvery,0.916299999,Humid
5013,Cauvery,1.755399942,Humid
5017,Cauvery,1.716799974,Humid
6001,Subarnarekha,0.806900024,Humid
6006,Subarnarekha,0.807600021,Humid
6007,Burhabalang,1.034100056,Humid
6008,Subarnarekha,0.794099987,Humid
7001,Brahmani,0.869400024,Humid
7002,Baitarni,0.968100011,Humid
7005,Baitarni,0.906099975,Humid
7007,Brahmani,0.872399986,Humid
7008,Brahmani,0.861400008,Humid
7009,Brahmani,0.967700005,Humid
7011,Brahmani,0.854300022,Humid
7014,Brahmani,0.795300007,Humid
7015,Brahmani,0.895099998,Humid
8001,Mahanadi,0.676999986,Humid
8003,Mahanadi,0.774299979,Humid
8005,Mahanadi,0.76819998,Humid
8006,Mahanadi,0.727500021,Humid
8009,Mahanadi,0.757499993,Humid
8011,Mahanadi,0.725499988,Humid
8013,Mahanadi,0.800400019,Humid
8016,Mahanadi,0.787,Humid
8020,Mahanadi,0.732599974,Humid
8021,Mahanadi,0.777700007,Humid
8023,Mahanadi,0.749199986,Humid
8028,Mahanadi,0.76700002,Humid
8029,Mahanadi,0.769800007,Humid
8030,Mahanadi,0.709999979,Humid
8031,Mahanadi,0.796000004,Humid
8034,Mahanadi,0.71390003,Humid
8035,Mahanadi,0.714699984,Humid
8036,Mahanadi,0.846400023,Humid
8038,Mahanadi,0.838699996,Humid
12004,Narmada,0.666000009,Humid
12012,Narmada,0.654699981,Humid
12016,Narmada,0.817300022,Humid
12018,Narmada,0.693099976,Humid
12026,Narmada,0.678200006,Humid
12036,Narmada,0.891600013,Humid
12038,Narmada,0.887600005,Humid
12043,Narmada,0.690699995,Humid
12046,Narmada,0.72420001,Humid
14001,Ulhas,1.798599958,Humid
14003,Vaitarna,1.398900032,Humid
14004,Ambika,0.921700001,Humid
14005,Mandovi,1.778499961,Humid
14008,Purna,0.912100017,Humid
14009,Savitri,2.308300018,Humid
14012,Damanganga,1.516800046,Humid
14014,Wagh,1.557800055,Humid
15001,Gurupur,1.890300035,Humid
15003,Bharathapuzha,0.713,Humid
15005,Periyar,1.915199995,Humid
15006,Seetha,3.182600021,Humid
15007,Vamanapuram,1.244199991,Humid
15008,Nethravathi,2.124300003,Humid
15009,Payaswani,2.513000011,Humid
15010,Halady,3.120800018,Humid
15011,Muvattupuzha,1.961899996,Humid
15012,Pampa,1.829599977,Humid
15013,Kadalundi,1.800999999,Humid
15014,Meenachil,1.912700057,Humid
15016,Bharathapuzha,1.747599959,Humid
15017,Chaliyar,1.872099996,Humid
15018,Thambraparni,0.807200015,Humid
15019,Pampa,1.791900039,Humid
15020,Bharathapuzha,1.538100004,Humid
15021,Periyar,1.909600019,Humid
15022,Kallada,1.596600056,Humid
15023,Valapatnam,2.656300068,Humid
15024,Bharathapuzha,1.689399958,Humid
15026,Muvattupuzha,1.937100053,Humid
15030,Pamba,1.714400053,Humid
15031,Periyar,1.467800021,Humid
15032,Swarna,2.900899887,Humid
16004,Vamsadhara,0.83039999,Humid
16007,Vamsadhara,0.811200023,Humid
16012,Rushikulya,0.828700006,Humid
3014,Godavari,0.461499989,Semi_arid
3020,Godavari,0.415100008,Semi_arid
3029,Godavari,0.444099993,Semi_arid
3079,Godavari,0.475899994,Semi_arid
3109,Godavari,0.492399991,Semi_arid
