predictor,IncMSE,oobMSE,metric,region_rf
pet_mam,2605.8310728403544,3220.317469277457,Zero_Flow_Days_sum,National
sinuosity,3679.422285195885,3220.317469277457,Zero_Flow_Days_sum,National
evap_surface.mm.day._jjas,1157.5493240534736,3220.317469277457,Zero_Flow_Days_sum,National
pet_mam.previous,1463.9579570127314,3220.317469277457,Zero_Flow_Days_sum,National
pet,1642.7525496205571,3220.317469277457,Zero_Flow_Days_sum,National
urban_pct,5462.892120450809,3220.317469277457,Zero_Flow_Days_sum,National
elev_max,1492.223163588562,3220.317469277457,Zero_Flow_Days_sum,National
Total_Dams_So_Far,2979.6813358812924,3220.317469277457,Zero_Flow_Days_sum,National
org_carb_top_mean,3468.6248121198255,3220.317469277457,Zero_Flow_Days_sum,National
wind_v.m.s.,1579.5639403208572,3220.317469277457,Zero_Flow_Days_sum,National
wind_v.m.s..previous,1541.7826186927396,3220.317469277457,Zero_Flow_Days_sum,National
elev_min,2853.634471503108,3220.317469277457,Zero_Flow_Days_sum,National
elev_max,630.9191165164843,1828.3431716210453,Zero_Flow_Days_sum,Humid
sinuosity,1148.9020230025146,1828.3431716210453,Zero_Flow_Days_sum,Humid
elev_mean,278.81649557616305,1828.3431716210453,Zero_Flow_Days_sum,Humid
slope_max,205.50005461127998,1828.3431716210453,Zero_Flow_Days_sum,Humid
lai_max,526.0831792685706,1828.3431716210453,Zero_Flow_Days_sum,Humid
soil_conductivity_top,325.579615899598,1828.3431716210453,Zero_Flow_Days_sum,Humid
evap_surface.mm.day._on.previous,234.98950881303475,1828.3431716210453,Zero_Flow_Days_sum,Humid
evap_canopy.mm.day._jjas.previous,326.23687236053615,1828.3431716210453,Zero_Flow_Days_sum,Humid
evap_surface.mm.day._on,224.14712070687412,1828.3431716210453,Zero_Flow_Days_sum,Humid
evap_surface.mm.day..previous,384.60043918258924,1828.3431716210453,Zero_Flow_Days_sum,Humid
urban_pct,518.8865537888194,1828.3431716210453,Zero_Flow_Days_sum,Humid
evap_canopy.mm.day._jjas,255.36793328951381,1828.3431716210453,Zero_Flow_Days_sum,Humid
srad_lw.w.m2.,286.4832893900907,1828.3431716210453,Zero_Flow_Days_sum,Humid
evap_canopy.mm.day..previous,827.9547016615065,1828.3431716210453,Zero_Flow_Days_sum,Humid
slope_mean,231.70331190371726,1828.3431716210453,Zero_Flow_Days_sum,Humid
pet_mam,183.8245627555587,1828.3431716210453,Zero_Flow_Days_sum,Humid
org_carb_sub_mean,286.597611134857,1828.3431716210453,Zero_Flow_Days_sum,Humid
dpsbar,551.9777787803579,1828.3431716210453,Zero_Flow_Days_sum,Humid
lai_min,437.19943625862936,1828.3431716210453,Zero_Flow_Days_sum,Humid
