metric,n,OOBmse,OOBr2
tau_Zero_Flow_Days_sum,5,0.02389267000454305,0.14162705891166727
tau_Zero_Flow_Days_sum,6,0.023921804490560573,0.1405803674182008
tau_Zero_Flow_Days_sum,7,0.02355282608971146,0.15383636078665652
tau_Zero_Flow_Days_sum,8,0.024072798501240195,0.13515572575993717
tau_Zero_Flow_Days_sum,9,0.023991729272674067,0.13806823541845747
tau_Zero_Flow_Days_sum,10,0.024194237560267937,0.1307928813293724
tau_Zero_Flow_Days_sum,11,0.023153833415275094,0.16817065307644752
tau_Zero_Flow_Days_sum,12,0.023759825344593852,0.1463996632897796
tau_Zero_Flow_Days_sum,13,0.02388954785857578,0.14173922576518028
tau_Zero_Flow_Days_sum,14,0.023878354570652682,0.14214135811259776
tau_Zero_Flow_Days_sum,15,0.02383995502087812,0.14352090817837904
tau_Zero_Flow_Days_sum,16,0.024200247282304858,0.13057697482838382
tau_Zero_Flow_Days_sum,17,0.023855657118288343,0.1429567914206996
tau_mean_dry_down_days,5,0.08861522904794068,-0.0661973940926186
tau_mean_dry_down_days,4,0.08861522904794068,-0.0661973940926186
tau_hydro_doy,5,0.04318332764935308,-0.03364154646753259
tau_hydro_doy,6,0.03921373974441088,0.06137500747246316
tau_hydro_doy,7,0.03960056648229697,0.05211587416040675
tau_hydro_doy,8,0.038454909147278546,0.07953847181443574
tau_hydro_doy,9,0.038356668479846305,0.08188997275098264
tau_hydro_doy,10,0.03923636397469463,0.060833471058965305
