predictor,ImpCondPerm,metric
wind_v.m.s.,0.00519983190305051,tau_Zero_Flow_Days_sum
spei12_drought_count,0.0030784229388707424,tau_Zero_Flow_Days_sum
tmax,0.002778738606276407,tau_Zero_Flow_Days_sum
lai_min,0.0021981891148576626,tau_Zero_Flow_Days_sum
sinuosity,0.0020566025583948974,tau_Zero_Flow_Days_sum
lai_mean,0.001682958098251558,tau_Zero_Flow_Days_sum
spei6_drought_count,0.0013903320585284204,tau_Zero_Flow_Days_sum
spei3_drought_count,0.0012477058734726362,tau_Zero_Flow_Days_sum
elev_mean,8.980011696424634e-4,tau_Zero_Flow_Days_sum
soil_awc_top,4.515972001368218e-4,tau_Zero_Flow_Days_sum
srad_lw.w.m2.,-3.8872132276702434e-4,tau_Zero_Flow_Days_sum
urban_pct,-0.0015197783218542996,tau_Zero_Flow_Days_sum
pet_mam,-0.0018353688956033593,tau_Zero_Flow_Days_sum
evap_surface.mm.day._jjas,-0.0025779734260548345,tau_Zero_Flow_Days_sum
geol_permeability,-0.0031026780441794468,tau_Zero_Flow_Days_sum
evap_surface.mm.day._on,-0.0058944136421196155,tau_Zero_Flow_Days_sum
evap_canopy.mm.day._djf,-0.007590655150168817,tau_Zero_Flow_Days_sum
res_store_sum,-0.0015019181178746455,tau_mean_dry_down_days
elev_mean,-0.0060305469266496575,tau_mean_dry_down_days
pet_mam,-0.016687527195258345,tau_mean_dry_down_days
org_carb_sub_mean,-0.02556366728960298,tau_mean_dry_down_days
srad_sw.w.m2.,0.014683251778934397,tau_hydro_doy
urban_pct,0.001962628447950841,tau_hydro_doy
gravel_frac_sub,2.3186833226398335e-4,tau_hydro_doy
soil_conductivity_top,-5.998647823045669e-4,tau_hydro_doy
lai_mean,-0.0018944253396234456,tau_hydro_doy
p,-0.004240162765890745,tau_hydro_doy
tmax_djf,-0.004326813995672807,tau_hydro_doy
wind_v.m.s.,-0.007542142210411181,tau_hydro_doy
gravel_frac_top,-0.007647578503322615,tau_hydro_doy
spei6_drought_count,-0.018761944678196363,tau_hydro_doy
