mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric
1,250,3,mae,standard,0.11698712782376926,5,0.004607658513980033,pre0_mod001_post0,tau_Zero_Flow_Days_sum
1,250,3,rmse,standard,0.155987842397538,5,0.005727364336030751,pre0_mod001_post0,tau_Zero_Flow_Days_sum
1,250,3,rsq,standard,0.13604443593070734,5,0.050203314082104586,pre0_mod001_post0,tau_Zero_Flow_Days_sum
1,250,6,mae,standard,0.11632106160469942,5,0.004637710878976843,pre0_mod002_post0,tau_Zero_Flow_Days_sum
1,250,6,rmse,standard,0.15477590666412372,5,0.005950952626843759,pre0_mod002_post0,tau_Zero_Flow_Days_sum
1,250,6,rsq,standard,0.15007159625524324,5,0.051256541277239075,pre0_mod002_post0,tau_Zero_Flow_Days_sum
1,250,9,mae,standard,0.11660105466356246,5,0.004680861994271818,pre0_mod003_post0,tau_Zero_Flow_Days_sum
1,250,9,rmse,standard,0.15520824671150574,5,0.006156804417196345,pre0_mod003_post0,tau_Zero_Flow_Days_sum
1,250,9,rsq,standard,0.14422151358966748,5,0.04015581485326466,pre0_mod003_post0,tau_Zero_Flow_Days_sum
1,250,12,mae,standard,0.11706675903762917,5,0.00507769180057927,pre0_mod004_post0,tau_Zero_Flow_Days_sum
1,250,12,rmse,standard,0.15620234096794916,5,0.0061802270962369775,pre0_mod004_post0,tau_Zero_Flow_Days_sum
1,250,12,rsq,standard,0.1394228899231663,5,0.05467215015712101,pre0_mod004_post0,tau_Zero_Flow_Days_sum
1,250,15,mae,standard,0.11741676293732954,5,0.004634935318893242,pre0_mod005_post0,tau_Zero_Flow_Days_sum
1,250,15,rmse,standard,0.1558397525304359,5,0.006361914994769354,pre0_mod005_post0,tau_Zero_Flow_Days_sum
1,250,15,rsq,standard,0.14669413332412137,5,0.05121373202663221,pre0_mod005_post0,tau_Zero_Flow_Days_sum
1,250,18,mae,standard,0.11718036516372474,5,0.004643938799228319,pre0_mod006_post0,tau_Zero_Flow_Days_sum
1,250,18,rmse,standard,0.1556872448582457,5,0.00621038848138303,pre0_mod006_post0,tau_Zero_Flow_Days_sum
1,250,18,rsq,standard,0.14290998599445354,5,0.051008323580780356,pre0_mod006_post0,tau_Zero_Flow_Days_sum
1,250,21,mae,standard,0.11887911138866881,5,0.004559177891912938,pre0_mod007_post0,tau_Zero_Flow_Days_sum
1,250,21,rmse,standard,0.15663118512374297,5,0.006323818113656165,pre0_mod007_post0,tau_Zero_Flow_Days_sum
1,250,21,rsq,standard,0.13098917943882557,5,0.045418588878179574,pre0_mod007_post0,tau_Zero_Flow_Days_sum
1,250,25,mae,standard,0.11792701320343799,5,0.004747081622415157,pre0_mod008_post0,tau_Zero_Flow_Days_sum
1,250,25,rmse,standard,0.15581343628241,5,0.006522728739586887,pre0_mod008_post0,tau_Zero_Flow_Days_sum
1,250,25,rsq,standard,0.1440228789338064,5,0.05075832858146757,pre0_mod008_post0,tau_Zero_Flow_Days_sum
1,450,3,mae,standard,0.11696934368137481,5,0.004277164446878844,pre0_mod009_post0,tau_Zero_Flow_Days_sum
1,450,3,rmse,standard,0.1550446649258575,5,0.005380733915610192,pre0_mod009_post0,tau_Zero_Flow_Days_sum
1,450,3,rsq,standard,0.14556025464577074,5,0.05225882456141479,pre0_mod009_post0,tau_Zero_Flow_Days_sum
1,450,6,mae,standard,0.11753804696344193,5,0.004707832261736989,pre0_mod010_post0,tau_Zero_Flow_Days_sum
1,450,6,rmse,standard,0.15585882588997288,5,0.005572443583447384,pre0_mod010_post0,tau_Zero_Flow_Days_sum
1,450,6,rsq,standard,0.13962561434127035,5,0.05091815451522777,pre0_mod010_post0,tau_Zero_Flow_Days_sum
1,450,9,mae,standard,0.11759438009255031,5,0.005281719918957668,pre0_mod011_post0,tau_Zero_Flow_Days_sum
1,450,9,rmse,standard,0.15621265251064445,5,0.006359135367932685,pre0_mod011_post0,tau_Zero_Flow_Days_sum
1,450,9,rsq,standard,0.13617711140464825,5,0.051852059229144556,pre0_mod011_post0,tau_Zero_Flow_Days_sum
1,450,12,mae,standard,0.11671121635905965,5,0.004810107995058775,pre0_mod012_post0,tau_Zero_Flow_Days_sum
1,450,12,rmse,standard,0.15511307177168923,5,0.005867301342180069,pre0_mod012_post0,tau_Zero_Flow_Days_sum
1,450,12,rsq,standard,0.1495237018970293,5,0.05507647748981599,pre0_mod012_post0,tau_Zero_Flow_Days_sum
1,450,15,mae,standard,0.11751409848293702,5,0.004980390441483257,pre0_mod013_post0,tau_Zero_Flow_Days_sum
