value,yhat,predictor,metric
-2.656254964,0.147165088,wind_v.m.s.,Zero_Flow_Days_sum
-2.519644892,0.147165088,wind_v.m.s.,Zero_Flow_Days_sum
-2.38303482,0.146530561,wind_v.m.s.,Zero_Flow_Days_sum
-2.246424749,0.146530561,wind_v.m.s.,Zero_Flow_Days_sum
-2.109814677,0.131093674,wind_v.m.s.,Zero_Flow_Days_sum
-1.973204605,0.125454234,wind_v.m.s.,Zero_Flow_Days_sum
-1.836594533,0.122981292,wind_v.m.s.,Zero_Flow_Days_sum
-1.699984461,0.12259973,wind_v.m.s.,Zero_Flow_Days_sum
-1.56337439,0.12297674,wind_v.m.s.,Zero_Flow_Days_sum
-1.426764318,0.122750495,wind_v.m.s.,Zero_Flow_Days_sum
-1.290154246,0.124619709,wind_v.m.s.,Zero_Flow_Days_sum
-1.153544174,0.125286478,wind_v.m.s.,Zero_Flow_Days_sum
-1.016934102,0.124532387,wind_v.m.s.,Zero_Flow_Days_sum
-0.880324031,0.122500512,wind_v.m.s.,Zero_Flow_Days_sum
-0.743713959,0.122551348,wind_v.m.s.,Zero_Flow_Days_sum
-0.607103887,0.122636949,wind_v.m.s.,Zero_Flow_Days_sum
-0.470493815,0.123762023,wind_v.m.s.,Zero_Flow_Days_sum
-0.333883743,0.124736709,wind_v.m.s.,Zero_Flow_Days_sum
-0.197273672,0.11056662,wind_v.m.s.,Zero_Flow_Days_sum
-0.0606636,0.078640003,wind_v.m.s.,Zero_Flow_Days_sum
0.075946472,0.074898942,wind_v.m.s.,Zero_Flow_Days_sum
0.212556544,0.074240276,wind_v.m.s.,Zero_Flow_Days_sum
0.349166616,0.06606478,wind_v.m.s.,Zero_Flow_Days_sum
0.485776688,0.063144306,wind_v.m.s.,Zero_Flow_Days_sum
0.622386759,0.062121056,wind_v.m.s.,Zero_Flow_Days_sum
0.758996831,0.064022311,wind_v.m.s.,Zero_Flow_Days_sum
0.895606903,0.06545528,wind_v.m.s.,Zero_Flow_Days_sum
1.032216975,0.06388595,wind_v.m.s.,Zero_Flow_Days_sum
1.168827047,0.063239675,wind_v.m.s.,Zero_Flow_Days_sum
1.305437118,0.062754735,wind_v.m.s.,Zero_Flow_Days_sum
1.44204719,0.062854909,wind_v.m.s.,Zero_Flow_Days_sum
1.578657262,0.063535496,wind_v.m.s.,Zero_Flow_Days_sum
1.715267334,0.064304578,wind_v.m.s.,Zero_Flow_Days_sum
1.851877406,0.065034538,wind_v.m.s.,Zero_Flow_Days_sum
1.988487477,0.065265678,wind_v.m.s.,Zero_Flow_Days_sum
2.125097549,0.065360685,wind_v.m.s.,Zero_Flow_Days_sum
2.261707621,0.065360685,wind_v.m.s.,Zero_Flow_Days_sum
2.398317693,0.065360685,wind_v.m.s.,Zero_Flow_Days_sum
2.534927765,0.065360685,wind_v.m.s.,Zero_Flow_Days_sum
2.671537836,0.065360685,wind_v.m.s.,Zero_Flow_Days_sum
2.808147908,0.065360685,wind_v.m.s.,Zero_Flow_Days_sum
2.94475798,0.065360685,wind_v.m.s.,Zero_Flow_Days_sum
3.081368052,0.065360685,wind_v.m.s.,Zero_Flow_Days_sum
3.217978124,0.065536944,wind_v.m.s.,Zero_Flow_Days_sum
3.354588195,0.065536944,wind_v.m.s.,Zero_Flow_Days_sum
3.491198267,0.065536944,wind_v.m.s.,Zero_Flow_Days_sum
3.627808339,0.065536944,wind_v.m.s.,Zero_Flow_Days_sum
3.764418411,0.065536944,wind_v.m.s.,Zero_Flow_Days_sum
3.901028483,0.065536944,wind_v.m.s.,Zero_Flow_Days_sum
4.037638554,0.065536944,wind_v.m.s.,Zero_Flow_Days_sum
4.174248626,0.065536944,wind_v.m.s.,Zero_Flow_Days_sum
-2.850664402,0.037859635,spei12_drought_count,Zero_Flow_Days_sum
-2.732874899,0.037859635,spei12_drought_count,Zero_Flow_Days_sum
-2.615085396,0.037859635,spei12_drought_count,Zero_Flow_Days_sum
-2.497295894,0.038172744,spei12_drought_count,Zero_Flow_Days_sum
-2.379506391,0.038172744,spei12_drought_count,Zero_Flow_Days_sum
-2.261716889,0.038752015,spei12_drought_count,Zero_Flow_Days_sum
-2.143927386,0.038843584,spei12_drought_count,Zero_Flow_Days_sum
-2.026137883,0.038993083,spei12_drought_count,Zero_Flow_Days_sum
-1.908348381,0.045108318,spei12_drought_count,Zero_Flow_Days_sum
-1.790558878,0.045133687,spei12_drought_count,Zero_Flow_Days_sum
-1.672769376,0.045893706,spei12_drought_count,Zero_Flow_Days_sum
-1.554979873,0.045881727,spei12_drought_count,Zero_Flow_Days_sum
-1.437190371,0.045881727,spei12_drought_count,Zero_Flow_Days_sum
-1.319400868,0.055247479,spei12_drought_count,Zero_Flow_Days_sum
-1.201611365,0.061948123,spei12_drought_count,Zero_Flow_Days_sum
-1.083821863,0.06399704,spei12_drought_count,Zero_Flow_Days_sum
-0.96603236,0.066587973,spei12_drought_count,Zero_Flow_Days_sum
-0.848242858,0.086298305,spei12_drought_count,Zero_Flow_Days_sum
-0.730453355,0.093462283,spei12_drought_count,Zero_Flow_Days_sum
-0.612663852,0.095896191,spei12_drought_count,Zero_Flow_Days_sum
-0.49487435,0.095486445,spei12_drought_count,Zero_Flow_Days_sum
-0.377084847,0.09522826,spei12_drought_count,Zero_Flow_Days_sum
-0.259295345,0.095485547,spei12_drought_count,Zero_Flow_Days_sum
-0.141505842,0.095809846,spei12_drought_count,Zero_Flow_Days_sum
-0.02371634,0.097706133,spei12_drought_count,Zero_Flow_Days_sum
0.094073163,0.092213429,spei12_drought_count,Zero_Flow_Days_sum
0.211862666,0.091765374,spei12_drought_count,Zero_Flow_Days_sum
0.329652168,0.090633824,spei12_drought_count,Zero_Flow_Days_sum
0.447441671,0.090503686,spei12_drought_count,Zero_Flow_Days_sum
0.565231173,0.088308642,spei12_drought_count,Zero_Flow_Days_sum
0.683020676,0.086900773,spei12_drought_count,Zero_Flow_Days_sum
0.800810179,0.085421913,spei12_drought_count,Zero_Flow_Days_sum
0.918599681,0.084836281,spei12_drought_count,Zero_Flow_Days_sum
1.036389184,0.084102997,spei12_drought_count,Zero_Flow_Days_sum
1.154178686,0.084349841,spei12_drought_count,Zero_Flow_Days_sum
1.271968189,0.084262221,spei12_drought_count,Zero_Flow_Days_sum
1.389757691,0.084463864,spei12_drought_count,Zero_Flow_Days_sum
1.507547194,0.085084353,spei12_drought_count,Zero_Flow_Days_sum
1.625336697,0.08552439,spei12_drought_count,Zero_Flow_Days_sum
1.743126199,0.08552439,spei12_drought_count,Zero_Flow_Days_sum
1.860915702,0.085501311,spei12_drought_count,Zero_Flow_Days_sum
1.978705204,0.085581099,spei12_drought_count,Zero_Flow_Days_sum
2.096494707,0.085073697,spei12_drought_count,Zero_Flow_Days_sum
2.21428421,0.084622672,spei12_drought_count,Zero_Flow_Days_sum
2.332073712,0.084572989,spei12_drought_count,Zero_Flow_Days_sum
2.449863215,0.0847351,spei12_drought_count,Zero_Flow_Days_sum
2.567652717,0.0847351,spei12_drought_count,Zero_Flow_Days_sum
2.68544222,0.0847351,spei12_drought_count,Zero_Flow_Days_sum
2.803231722,0.085984103,spei12_drought_count,Zero_Flow_Days_sum
2.921021225,0.085984103,spei12_drought_count,Zero_Flow_Days_sum
-2.735177376,0.050223301,tmax,Zero_Flow_Days_sum
-2.645370456,0.050223301,tmax,Zero_Flow_Days_sum
-2.555563537,0.065062106,tmax,Zero_Flow_Days_sum
-2.465756618,0.071415466,tmax,Zero_Flow_Days_sum
-2.375949698,0.07169169,tmax,Zero_Flow_Days_sum
-2.286142779,0.071514212,tmax,Zero_Flow_Days_sum
-2.19633586,0.071620045,tmax,Zero_Flow_Days_sum
-2.10652894,0.072168982,tmax,Zero_Flow_Days_sum
-2.016722021,0.072213865,tmax,Zero_Flow_Days_sum
-1.926915102,0.078677253,tmax,Zero_Flow_Days_sum
-1.837108182,0.083213407,tmax,Zero_Flow_Days_sum
-1.747301263,0.08337713,tmax,Zero_Flow_Days_sum
-1.657494344,0.080554991,tmax,Zero_Flow_Days_sum
